Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+60 Quarters
Revenue,25.09,25.21,22.77,24.7,23.49,22.61,22.45,22.72,21.67,22.12,20.53,20.41,16.74,20.05,15.66,20.04,19,20.6,22.16,17.98,19.67,13.96,18.64,18.55,17.3,17.79,17.43,17.8,18.03,17.37,17.3,17.71,17.14,22.78,16.82,16.38,16.36,16.3,14.99,15.35,Upgrade
Revenue Growth (YoY),6.85%,11.50%,1.45%,8.73%,8.40%,2.21%,9.34%,11.32%,29.41%,10.35%,31.12%,1.87%,-11.88%,-2.67%,-29.35%,11.44%,-3.39%,47.49%,18.88%,-3.08%,13.67%,-21.50%,6.97%,4.24%,-4.05%,2.41%,0.75%,0.46%,5.21%,-23.76%,2.81%,8.16%,4.77%,39.77%,12.20%,6.68%,6.86%,3.43%,-3.62%,-0.57%,Upgrade
Gross Profit,25.09,25.21,22.77,24.7,23.49,22.61,22.45,22.72,21.67,22.12,20.53,20.41,16.74,20.05,15.66,20.04,19,20.6,22.16,17.98,19.67,13.96,18.64,18.55,17.3,17.79,17.43,17.8,18.03,17.37,17.3,17.71,17.14,22.78,16.82,16.38,16.36,16.3,14.99,15.35,Upgrade
"Selling, General & Admin",15.24,15.06,14.65,14.27,14.57,14.11,13.89,13.53,13.01,15.09,12.9,12.93,13.29,14.5,13.35,13.36,12.98,12.97,13.05,13.62,13.76,12.53,12.91,13.12,12.69,11.51,12.7,13.6,13.29,13.14,12.79,12.86,12.92,14.83,12.63,12.76,12.41,12.51,10.9,10.77,Upgrade
Other Operating Expenses,0.59,0.63,-0.08,0.07,0.1,0.27,0.21,0.32,0.35,0.51,0.47,0.3,0.46,0.35,0.18,0.46,0.51,1.24,0.38,1.35,0.41,0.58,0.36,1.22,0.35,2.06,0.77,1.97,0.72,1.09,0.85,0.96,0.81,0.96,5.14,0.82,0.94,1.97,0.91,0.62,Upgrade
Operating Expenses,15.84,15.69,14.58,14.34,14.67,14.38,14.1,13.85,13.35,15.6,13.36,13.23,13.75,14.85,13.53,13.82,13.5,14.21,13.43,14.97,14.17,13.11,13.28,14.33,13.05,13.56,13.47,15.57,14.01,14.23,13.63,13.82,13.74,15.79,17.76,13.58,13.34,14.47,11.81,11.39,Upgrade
Operating Income,9.26,9.52,8.19,10.36,8.82,8.23,8.35,8.87,8.31,6.53,7.17,7.18,2.99,5.2,2.13,6.21,5.5,6.39,8.73,3.01,5.5,0.85,5.36,4.22,4.26,4.23,3.95,2.23,4.02,3.14,3.66,3.89,3.4,6.99,-0.94,2.8,3.02,1.83,3.18,3.96,Upgrade
Pretax Income,9.26,9.52,8.19,10.36,8.82,8.23,8.35,8.87,8.31,6.53,7.17,7.18,2.99,5.2,2.13,6.21,5.5,6.39,8.73,3.01,5.5,0.85,5.36,4.22,4.26,4.23,3.95,2.23,4.02,3.14,3.66,3.89,3.4,6.99,-0.94,2.8,3.02,1.83,3.18,3.96,Upgrade
Income Tax,1.99,2.08,1.74,2.34,1.95,1.78,1.7,2.08,1.78,1.29,1.46,1.36,0.5,0.99,0.18,1.23,1.03,0.66,1.8,0.49,1.06,3.01,1.71,1.26,1.28,1.27,1.21,0.61,1.32,1.01,1.21,1.31,1.13,2.51,-0.62,0.87,0.95,0.34,1,1.31,Upgrade
Net Income,7.27,7.44,6.45,8.02,6.87,6.45,6.65,6.8,6.53,5.23,5.71,5.83,2.49,4.2,1.96,4.98,4.47,5.73,6.93,2.53,4.44,-2.16,3.65,2.96,2.98,2.95,2.75,1.62,2.71,2.13,2.45,2.58,2.28,4.48,-0.32,1.93,2.06,1.49,2.18,2.66,Upgrade
Net Income Growth,5.87%,15.26%,-2.90%,18.09%,5.16%,23.33%,16.37%,16.61%,162.14%,24.48%,191.97%,16.98%,-44.25%,-26.63%,-71.77%,97.11%,0.65%,-,89.66%,-14.51%,49.01%,-,33.11%,82.36%,10.05%,38.75%,12.00%,-37.10%,18.94%,-52.49%,-,33.52%,10.27%,201.75%,-,-27.31%,-14.43%,-30.27%,-23.11%,8.63%,Upgrade
Shares Outstanding (Basic),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Upgrade
Shares Outstanding (Diluted),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Upgrade
