Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-28
"Selling, General & Admin",0.52,0.17,0.15,0.39,0.57,0.12,0.17,0.07,0.01
Operating Expenses,0.52,0.17,0.15,0.39,0.57,0.12,0.17,0.07,0.01
Operating Income,-0.52,-0.17,-0.15,-0.39,-0.57,-0.12,-0.17,-0.07,-0.01
Other Expense / Income,-3.05,-2.23,-2.46,-5.11,-1.59,-5.11,-6.56,1.39,-
Pretax Income,2.53,2.05,2.31,4.72,1.01,4.99,6.39,-1.46,-0.01
Net Income,2.53,2.05,2.31,4.72,1.01,4.99,6.39,-1.46,-0.01
Net Income Growth,150.42%,-58.86%,-63.84%,-,-,-,-,-,-
Shares Outstanding (Basic),38,38,38,38,38,38,38,21,6
Shares Outstanding (Diluted),38,38,38,38,38,38,38,21,6
Shares Change,-0.82%,-,-,76.59%,504.98%,-,-,-,-
EPS (Basic),0.07,0.05,0.06,0.13,0.02,0.13,0.17,-0.07,-
EPS (Diluted),0.07,0.05,0.06,0.13,0.02,0.13,0.17,-0.07,-
EPS Growth,250.00%,-61.54%,-64.71%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-
EBITDA,2.53,2.05,2.31,4.72,1.01,4.99,6.39,-1.46,-0.01
EBIT,2.53,2.05,2.31,4.72,1.01,4.99,6.39,-1.46,-0.01
