Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.78,0.86,0.37,0.4,0.13,0,0
Operating Expenses,0.78,0.86,0.37,0.4,0.13,0,0
Operating Income,-0.78,-0.86,-0.37,-0.4,-0.13,0,-0
Other Expense / Income,-3.82,-3.66,-5.61,-16.29,-1.05,-,-
Pretax Income,3.04,2.79,5.24,15.89,0.92,0,-0
Net Income,3.04,2.79,5.24,15.89,0.92,0,-0
Net Income Growth,231.79%,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,10,9,42
Shares Outstanding (Diluted),43,43,43,43,10,9,42
Shares Change,325.37%,400.00%,2.02%,-,-,-,-
EPS (Basic),0.08,0.06,-0.86,0.37,0.09,-,-
EPS (Diluted),0.08,0.06,-0.86,0.37,0.09,-,-
EPS Growth,-11.11%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.03,0.01,-,-
EBITDA,3.04,2.79,5.24,15.89,0.92,0,-0
EBIT,3.04,2.79,5.24,15.89,0.92,0,-0
