Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.19,0.16,0.17,0.23,0.09,0.04,0.05
Operating Expenses,0.19,0.16,0.17,0.23,0.09,0.04,0.05
Operating Income,-0.19,-0.16,-0.17,-0.23,-0.09,-0.04,-0.05
Other Expense / Income,-0.88,-0.62,-0.01,-0.01,-0,-,-
Pretax Income,0.7,0.46,-0.16,-0.22,-0.09,-0.04,-0.05
Income Tax,0.18,0.12,0,0,0,0,0
Net Income,0.52,0.34,-0.16,-0.22,-0.09,-0.04,-0.05
Shares Outstanding (Basic),14,13,13,13,3,2,2
Shares Outstanding (Diluted),14,13,13,13,3,2,2
Shares Change,334.39%,463.22%,463.22%,-,-,-,-
EPS (Basic),-0.03,-0.01,-0.03,-0.02,-4.24,-0.02,-0.02
EPS (Diluted),-0.03,-0.01,-0.03,-0.02,-4.24,-0.02,-0.02
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.05,-0.01,-0.02,-0.02
Effective Tax Rate,26.01%,25.66%,-,-,-,-,-
EBITDA,0.7,0.46,-0.16,-0.22,-0.09,-0.04,-0.05
EBIT,0.7,0.46,-0.16,-0.22,-0.09,-0.04,-0.05
