Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+73 Quarters
Revenue,"14,517","12,749","12,986","13,132","14,801","14,524","14,753","14,759","15,719","13,597","11,721","13,660","9,779","10,976","10,032","10,244","10,286","8,548","9,872","10,610","11,077","9,500","9,197","9,503","9,745","9,021","8,909","8,909","7,792","7,738","7,767","9,743","9,907","7,764","8,907","8,608","8,996","7,845","7,956","8,515",Upgrade
Revenue Growth (YoY),-1.92%,-12.22%,-11.98%,-11.02%,-5.84%,6.82%,25.87%,8.05%,60.74%,23.88%,16.84%,33.35%,-4.93%,28.40%,1.62%,-3.45%,-7.14%,-10.02%,7.34%,11.65%,13.67%,5.31%,3.23%,6.67%,25.06%,16.58%,14.70%,-8.56%,-21.35%,-0.33%,-12.80%,13.19%,10.13%,-1.03%,11.95%,1.09%,10.38%,11.56%,50.68%,22.66%,Upgrade
Gross Profit,"14,517","12,749","12,986","13,132","14,801","14,524","14,753","14,759","15,719","13,597","11,721","13,660","9,779","10,976","10,032","10,244","10,286","8,548","9,872","10,610","11,077","9,500","9,197","9,503","9,745","9,021","8,909","8,909","7,792","7,738","7,767","9,743","9,907","7,764","8,907","8,608","8,996","7,845","7,956","8,515",Upgrade
"Selling, General & Admin","8,722","8,139","7,887","7,814","8,410","7,833","8,015","8,494","8,706","7,443","6,695","7,587","5,792","6,925","6,025","6,121","6,185","5,499","5,896","6,222","6,378","5,826","5,620","5,734","5,884","5,601","5,511","5,474","5,102","5,297","4,959","5,971","5,917","6,669","5,642","5,665","5,691","5,547","5,343","5,568",Upgrade
Other Operating Expenses,"1,801","1,729","1,676","1,898","1,746","1,802","1,840","1,626","1,767","1,720","1,428","1,479","1,434","1,157","1,297","1,220","1,146","1,192","1,125","1,279","1,279","1,203","1,095","1,127","1,053","1,174","1,017",952,952,"1,002","1,334","1,045","1,135","4,026","1,045","1,011",935,"2,500","1,248","1,151",Upgrade
Operating Expenses,"10,523","9,868","9,563","9,712","10,156","9,635","9,855","10,120","10,473","9,163","8,123","9,066","7,226","8,082","7,322","7,341","7,331","6,691","7,021","7,501","7,657","7,029","6,715","6,861","6,937","6,775","6,528","6,426","6,054","6,299","6,293","7,016","7,052","10,695","6,687","6,676","6,626","8,047","6,591","6,719",Upgrade
Operating Income,"3,994","2,881","3,423","3,420","4,645","4,889","4,898","4,639","5,246","4,434","3,598","4,594","2,553","2,894","2,710","2,903","2,955","1,857","2,851","3,109","3,420","2,471","2,482","2,642","2,808","2,246","2,381","2,483","1,738","1,439","1,474","2,727","2,855","-2,931","2,220","1,932","2,370",-202,"1,365","1,796",Upgrade
Other Expense / Income,287,117,65,142,106,25,41,74,-50,31,145,279,489,227,45,45,39,26,43,32,38,18,4,39,63,14,35,68,26,35,33,26,74,52,64,18,80,100,96,242,Upgrade
Pretax Income,"3,707","2,764","3,358","3,278","4,539","4,864","4,857","4,565","5,296","4,403","3,453","4,315","2,064","2,667","2,665","2,858","2,916","1,831","2,808","3,077","3,382","2,453","2,478","2,603","2,745","2,232","2,346","2,415","1,712","1,404","1,441","2,701","2,781","-2,983","2,156","1,914","2,290",-302,"1,269","1,554",Upgrade
Income Tax,727,528,726,783,873,"1,168","1,150","1,054","1,176","1,018",736,"1,119",366,428,492,657,487,300,696,640,714,"1,810",697,846,815,566,749,833,578,496,423,894,387,"-1,353",463,15,785,-386,363,574,Upgrade
