Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-06-30
Shares Outstanding (Basic),90,90,90,90,90,90,90,85,83,80,80
Shares Change,-,-,-,6.44%,9.56%,13.09%,13.09%,-,-,-,-
