Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-24
"Selling, General & Admin",0.21,0.35,1.57,1.02,0.51,0.1,0.01,0
Operating Expenses,0.21,0.35,1.57,1.02,0.51,0.1,0.01,0
Operating Income,-0.21,-0.35,-1.57,-1.02,-0.51,-0.1,-0.01,-0
Other Expense / Income,-1.95,-0.84,-3.15,-3.73,-1.03,-3.64,-,-
Pretax Income,1.74,0.49,1.58,2.71,0.51,3.53,-0.01,-0
Net Income,1.74,0.49,1.58,2.71,0.51,3.53,-0.01,-0
Net Income Growth,239.15%,-86.15%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,18,24,5,5
Shares Outstanding (Diluted),25,25,25,25,18,24,5,5
Shares Change,41.85%,4.60%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.07,0.02,0.06,0.11,-0.02,0.15,-,-
EPS (Diluted),0.07,0.02,0.06,0.11,-0.02,0.15,-,-
EPS Growth,-,-86.67%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-0.01,-
EBITDA,1.74,0.49,1.58,2.71,0.51,3.53,-0.01,-0
EBIT,1.74,0.49,1.58,2.71,0.51,3.53,-0.01,-0
