Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+50 Quarters
Revenue,109.32,103.22,102.35,94.07,90.18,99.05,97.56,88.87,101.19,86.43,81.93,81.64,56.03,86.44,87.92,86.2,80.26,84.08,80.61,88.82,74.83,82.02,78.14,78.33,65.53,71.68,63.2,54.28,56,57.4,57.57,59.68,60.2,57.47,59.53,59.07,57.28,58.35,61.6,49.83,Upgrade
Revenue Growth (YoY),21.22%,4.20%,4.91%,5.85%,-10.87%,14.60%,19.08%,8.86%,80.59%,-0.00%,-6.81%,-5.29%,-30.19%,2.81%,9.06%,-2.95%,7.27%,2.51%,3.16%,13.39%,14.18%,14.43%,23.63%,44.32%,17.03%,24.87%,9.79%,-9.05%,-6.99%,-0.11%,-3.29%,1.03%,5.10%,-1.52%,-3.36%,18.54%,2.64%,4.98%,6.66%,-15.14%,Upgrade
Gross Profit,109.32,103.22,102.35,94.07,90.18,99.05,97.56,88.87,101.19,86.43,81.93,81.64,56.03,86.44,87.92,86.2,80.26,84.08,80.61,88.82,74.83,82.02,78.14,78.33,65.53,71.68,63.2,54.28,56,57.4,57.57,59.68,60.2,57.47,59.53,59.07,57.28,58.35,61.6,49.83,Upgrade
"Selling, General & Admin",48.59,75.44,46.12,43.88,43.86,69.92,43.42,40.64,41.77,67.37,41.32,40.96,42.35,69.14,41.06,39.43,39.59,65.03,38.37,37.68,36.02,46.15,42.33,42.37,38.19,38.6,34.05,32.58,34.51,36.75,35.14,34.52,35.14,35.69,36.57,37.48,36.12,36.01,35.39,35.12,Upgrade
Other Operating Expenses,22.79,-17.11,13.78,11.8,11.86,-14.49,11.6,10.9,10.09,-12.82,16.93,11.8,7.93,-16.04,13.83,12.8,10.14,-15.01,11.16,11.45,10.85,5.76,5.03,15.89,4.58,7.07,4.65,4.84,3.63,6.38,5.12,6.11,4.71,11.67,5,4.92,3.77,9.32,4.66,5.25,Upgrade
Operating Expenses,71.38,58.33,59.9,55.68,55.72,55.43,55.03,51.54,51.86,54.55,58.25,52.76,50.27,53.11,54.9,52.23,49.73,50.02,49.53,49.13,46.87,51.91,47.36,58.26,42.77,45.68,38.7,37.41,38.14,43.13,40.26,40.63,39.85,47.36,41.57,42.4,39.89,45.33,40.05,40.37,Upgrade
Operating Income,37.94,44.88,42.45,38.39,34.46,43.63,42.53,37.33,49.33,31.88,23.68,28.88,5.76,33.33,33.02,33.97,30.53,34.06,31.08,39.69,27.95,30.11,30.78,20.07,22.77,26,24.51,16.87,17.85,14.27,17.31,19.05,20.35,10.11,17.96,16.67,17.39,13.03,21.55,9.46,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.63,Upgrade
Pretax Income,37.94,44.88,42.45,38.39,34.46,43.63,42.53,37.33,49.33,31.88,23.68,28.88,5.76,33.33,33.02,33.97,30.53,34.06,31.08,39.69,27.95,30.11,30.78,20.07,22.77,26,24.51,16.87,17.85,14.27,17.31,19.05,20.35,10.11,17.96,16.67,17.39,13.03,21.55,7.83,Upgrade
Income Tax,7.71,9.15,8.48,7.64,6.73,8.85,8.44,7.71,9.56,6.2,4.49,5.03,1.03,6.51,6.38,6.69,5.94,7.06,5.93,7.61,4.68,26.13,9.5,6.05,6.88,8.09,7.31,4.86,5.38,4.21,4.9,5.6,6.13,2.38,5.47,4.74,5.09,3.77,5.7,2.02,Upgrade
