Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.27,0.82,0.32,0.29,0.11,0,0.01
Operating Expenses,0.27,0.82,0.32,0.29,0.11,0,0.01
Operating Income,-0.27,-0.82,-0.32,-0.29,-0.11,0,-0.01
Other Expense / Income,-3.6,-1.35,-1.93,-6.23,-13.44,-,-
Pretax Income,3.33,0.52,1.61,5.94,13.33,0,-0.01
Net Income,3.33,0.52,1.61,5.94,13.33,0,-0.01
Net Income Growth,-75.03%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,14,13,5,5
Shares Outstanding (Diluted),29,29,29,14,13,5,5
Shares Change,124.14%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.12,0.02,0.06,-0.20,1.04,-,-
EPS (Diluted),0.12,0.02,0.06,-0.20,1.04,-,-
EPS Growth,-88.46%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.05,-0.00,-
EBITDA,3.33,0.52,1.61,5.94,13.33,0,-0.01
EBIT,3.33,0.52,1.61,5.94,13.33,0,-0.01
