Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
Revenue,10.23,10.75,11.94,12.02,11.6,13.63,12.65,12.13,12.09,11.51,8.87,8.47,8.68,9.32,9.47,8.57,8.05,8.55,8.7,7.13,7.11,7.19,9.39
Revenue Growth (YoY),-11.88%,-21.11%,-5.62%,-0.90%,-4.04%,18.34%,42.57%,43.21%,39.29%,23.59%,-6.32%,-1.19%,7.78%,9.00%,8.85%,20.30%,13.21%,18.89%,-7.28%,-,-,-,-
Gross Profit,10.23,10.75,11.94,12.02,11.6,13.63,12.65,12.13,12.09,11.51,8.87,8.47,8.68,9.32,9.47,8.57,8.05,8.55,8.7,7.13,7.11,7.19,9.39
"Selling, General & Admin",6.9,7.09,7.07,7.37,7.22,7.26,6.79,6.6,6.03,5.97,5.46,5.32,5.5,5.32,5.23,5.33,5.25,5.18,4.85,4.79,4.84,4.62,4.54
Other Operating Expenses,2.31,2.5,2.17,2.11,1.89,2.28,2.35,2.27,1.92,2.6,1.97,1.45,1.8,1.81,1.6,1.72,1.67,1.71,1.62,1.62,1.53,1.67,1.47
Operating Expenses,9.2,9.59,9.24,9.49,9.11,9.55,9.14,8.88,7.95,8.57,7.43,6.77,7.3,7.13,6.83,7.05,6.92,6.88,6.47,6.4,6.37,6.29,6.01
Operating Income,1.02,1.16,2.7,2.54,2.5,4.08,3.51,3.26,4.14,2.95,1.44,1.71,1.38,2.19,2.64,1.53,1.14,1.67,2.23,0.73,0.75,0.9,3.38
Pretax Income,1.02,1.16,2.7,2.54,2.5,4.08,3.51,3.26,4.14,2.95,1.44,1.71,1.38,2.19,2.64,1.53,1.14,1.67,2.23,0.73,0.75,0.9,3.38
Income Tax,0.23,0.35,0.6,0.51,0.45,1.09,0.83,0.69,0.82,0.6,0.29,0.36,0.31,0.45,0.55,0.31,0.23,0.47,0.27,0.15,0.13,2.13,0.75
Net Income,0.8,0.81,2.11,2.03,2.05,2.99,2.69,2.57,3.32,2.34,1.15,1.35,1.08,1.74,2.09,1.22,0.91,1.2,1.96,0.58,0.62,-1.23,2.62
Net Income Growth,-61.13%,-72.95%,-21.53%,-20.90%,-38.18%,27.43%,133.48%,90.28%,208.93%,34.71%,-45.00%,10.40%,18.00%,45.24%,6.47%,110.88%,47.89%,-,-25.10%,-,-,-,-
Shares Outstanding (Basic),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,-,-
Shares Outstanding (Diluted),11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,-,-,-,-,-,-
