Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-09-30,2016-12-31
Revenue,-,-,-,-,-,-,508.96,296.82,-,766.24,259.73,416.89,172.07,-
Revenue Growth (YoY),-,-,-,-,-,-,95.96%,-28.80%,-,-,-,-,-,-
Cost of Revenue,-,-,-,-,-,-,467.09,97.72,-,622.28,120.93,335.64,115.1,-
Gross Profit,-,-,-,-,-,-,41.87,199.1,-,143.96,138.8,81.26,56.97,-
"Selling, General & Admin",-,-,-,-,-,-,883.54,107.89,-,183.39,81.41,50.97,47.64,-
Research & Development,-,-,-,-,-,-,17.9,16.08,-,35.52,20.4,18.67,19.18,-
Operating Expenses,-,-,-,-,-,-,901.45,123.97,-,218.91,101.81,69.64,66.81,-
Operating Income,-,-,-,-,-,-,-859.58,75.13,-,-74.95,36.99,11.62,-9.84,-
Interest Expense / Income,-,-,-,-,-,-,19.02,0,-,0,0,0,0,-
Other Expense / Income,-,-,-,-,-,-,136.48,57.94,-,60.21,-28.82,45.6,-10.91,-
Pretax Income,-,-,-,-,-,-,"-1,015.07",17.19,-,-135.16,65.81,-33.98,1.07,-
Income Tax,-,-,-,-,-,-,6.05,-24.7,-,-54.19,28.24,9.68,8.84,-
Net Income,-,-,-,-,-,-,"-1,021.12",41.89,-,-80.97,37.57,-43.65,-7.77,-
Preferred Dividends,-,-,-,-,-,-,0,0,-,-134.75,68.4,-68.63,22.57,-
Net Income Common,-,-,-,-,-,-,"-1,021.12",41.89,-,53.79,-30.83,24.98,-30.34,-
Net Income Growth,-,-,-,-,-,-,-,67.70%,-,-,-,-,-,-
Shares Outstanding (Basic),300,300,300,299,297,296,297,281,275,101,69,65,64,57
Shares Outstanding (Diluted),-,-,-,-,-,-,282,335,-,101,69,65,64,-
Shares Change,0.93%,1.24%,6.23%,-10.74%,8.12%,193.18%,310.77%,416.96%,333.02%,76.44%,-,-,-,-
EPS (Basic),-,-,-,-,-,-,-127.05,5.25,-,0.70,-15.75,-10.85,-16.80,-
EPS (Diluted),-,-,-,-,-,-,-125.65,4.20,-,0.70,-15.75,-10.85,-16.80,-
Gross Margin,-,-,-,-,-,-,8.23%,67.08%,-,18.79%,53.44%,19.49%,33.11%,-
Operating Margin,-,-,-,-,-,-,-168.89%,25.31%,-,-9.78%,14.24%,2.79%,-5.72%,-
Profit Margin,-,-,-,-,-,-,-200.63%,14.11%,-,7.02%,-11.87%,5.99%,-17.63%,-
Effective Tax Rate,-,-,-,-,-,-,-,-143.67%,-,-,42.90%,-,827.25%,-
EBIT,-,-,-,-,-,-,-996.05,17.19,-,-135.16,65.81,-33.98,1.07,-
EBIT Margin,-,-,-,-,-,-,-195.70%,5.79%,-,-17.64%,25.34%,-8.15%,0.62%,-
