Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.33,0.39,0.51,0.57,0.44,0,0
Operating Expenses,0.33,0.39,0.51,0.57,0.44,0,0
Operating Income,-0.33,-0.39,-0.51,-0.57,-0.44,0,0
Other Expense / Income,-2.92,-0.57,-4.44,-3.76,-9.94,-,-
Pretax Income,2.6,0.17,3.93,3.19,9.5,0,0
Net Income,2.6,0.17,3.93,3.19,9.5,0,0
Net Income Growth,-72.67%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,11,6,6
Shares Outstanding (Diluted),29,29,29,29,11,6,6
Shares Change,154.98%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.09,0.01,0.14,0.11,0.84,-,-
EPS (Diluted),0.09,0.01,0.14,0.11,0.84,-,-
EPS Growth,-89.29%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.01,-0.14,-,-
EBITDA,2.6,0.17,3.93,3.19,9.5,0,0
EBIT,2.6,0.17,3.93,3.19,9.5,0,0
