Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",3.41,-0.31,0.33,0.43,1.87,-0.04,0.01
Operating Expenses,3.41,-0.31,0.33,0.43,1.87,-0.04,0.01
Operating Income,-3.41,0.31,-0.33,-0.43,-1.87,0.04,-0.01
Other Expense / Income,-5.2,-2.65,-4.32,-2.92,-10.57,0.09,-
Pretax Income,1.79,2.97,4,2.49,8.7,-0.04,-0.01
Net Income,1.79,2.97,4,2.49,8.7,-0.04,-0.01
Net Income Growth,-79.38%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,11,5,5
Shares Outstanding (Diluted),29,29,29,29,11,5,5
Shares Change,161.83%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.06,0.10,0.14,0.09,0.80,-0.01,-
EPS (Diluted),0.06,0.10,0.14,0.09,0.80,-0.01,-
EPS Growth,-92.50%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.08,0.00,-0.00
EBITDA,1.79,2.97,4,2.49,8.7,-0.04,-0.01
EBIT,1.79,2.97,4,2.49,8.7,-0.04,-0.01
