Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,88.56,70.16,71.51,78.09,84.95,65.95,70.66,76.28,81.56,97.55,65.61,65.41,80.55,73.14,65.14,64.61,82.49,59.29,60.42,60.45,77.96,54.76,54.46,51,69.01,47.13,48.21,44.57,59.17,38.11,37,39.64,51.82,34.31,33.46,35.94,48.72,31.77,33.84,38.65,Upgrade
Revenue Growth (YoY),4.25%,6.40%,1.20%,2.38%,4.16%,-32.40%,7.70%,16.61%,1.25%,33.38%,0.71%,1.24%,-2.35%,23.35%,7.82%,6.89%,5.81%,8.28%,10.95%,18.52%,12.96%,16.19%,12.96%,14.45%,16.63%,23.66%,30.31%,12.43%,14.18%,11.06%,10.57%,10.30%,6.36%,8.01%,-1.12%,-7.00%,-6.81%,-14.03%,-44.83%,-7.84%,Upgrade
Gross Profit,88.56,70.16,71.51,78.09,84.95,65.95,70.66,76.28,81.56,97.55,65.61,65.41,80.55,73.14,65.14,64.61,82.49,59.29,60.42,60.45,77.96,54.76,54.46,51,69.01,47.13,48.21,44.57,59.17,38.11,37,39.64,51.82,34.31,33.46,35.94,48.72,31.77,33.84,38.65,Upgrade
"Selling, General & Admin",43.23,38.99,40.57,41.87,42.68,39.53,39.8,40.67,41.88,44.84,38.08,37.18,38.78,32.9,37.49,37.75,37.39,33.75,35.22,35.16,36.16,33.07,31.74,30.82,32.39,27.38,28.22,27.37,26.69,22.14,24.06,23.05,25.05,22.68,21.51,22.5,24.11,28.71,20.59,23.28,Upgrade
Other Operating Expenses,9.21,5.99,5.54,5.78,5.9,5.5,4.63,5.05,5.93,9.42,5.7,6.02,8.19,7.93,4.92,5.68,8.12,5.21,5.99,5.48,6.88,5.07,6.28,4.92,6.55,4.79,4.46,4.49,5.85,4.7,4.18,4.11,6.02,3.75,3.7,3.78,6.09,0.04,5.7,6.42,Upgrade
Operating Expenses,52.44,44.98,46.11,47.65,48.58,45.04,44.44,45.71,47.81,54.26,43.78,43.2,46.97,40.84,42.41,43.43,45.51,38.96,41.21,40.63,43.05,38.15,38.03,35.73,38.94,32.17,32.69,31.87,32.54,26.85,28.24,27.17,31.07,26.43,25.21,26.28,30.2,28.75,26.29,29.7,Upgrade
Operating Income,36.11,25.19,25.41,30.44,36.37,20.91,26.23,30.56,33.74,43.29,21.83,22.21,33.58,32.3,22.73,21.18,36.98,20.33,19.21,19.82,34.91,16.61,16.43,15.27,30.07,14.96,15.52,12.7,26.63,11.26,8.76,12.47,20.75,7.88,8.25,9.65,18.52,3.02,7.55,8.95,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,15.65,-3.11,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.85,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,36.11,25.19,25.41,30.44,36.37,20.91,26.23,30.56,33.74,27.64,24.94,20.26,33.58,32.3,22.73,21.18,36.98,20.33,19.21,19.82,34.91,16.61,16.43,15.27,30.07,14.96,14.68,12.7,26.63,11.26,8.76,12.47,20.75,7.88,8.25,9.65,18.52,3.02,7.55,8.95,Upgrade
Income Tax,8.02,5.39,5.92,6.54,8.02,3.28,6.22,6.64,7.69,7.28,4.55,4.45,6.88,6.53,4.33,3.18,7.46,3.02,1.8,4.15,7.44,11.77,5.73,5.2,10.05,4.96,4.85,4.36,8.89,3.84,3.12,4.15,6.96,2.65,3.01,3.33,6.54,1.68,2.95,2.83,Upgrade
Net Income,28.09,19.8,19.48,23.9,28.35,17.63,20.01,23.92,26.05,20.36,20.39,15.8,26.7,25.77,18.41,18.01,29.52,17.31,17.41,15.67,27.47,4.84,10.71,10.07,20.02,10,9.83,8.34,17.74,7.42,5.64,8.32,13.79,5.24,5.25,6.32,11.98,1.35,4.6,6.12,Upgrade
Net Income Growth,-0.91%,12.30%,-2.63%,-0.09%,8.82%,-13.41%,-1.86%,51.37%,-2.41%,-21.00%,10.76%,-12.23%,-9.55%,48.90%,5.73%,14.94%,7.45%,257.71%,62.63%,55.56%,37.23%,-51.62%,8.93%,20.76%,12.87%,34.81%,74.26%,0.24%,28.63%,41.70%,7.51%,31.60%,15.05%,289.22%,13.97%,3.32%,-10.27%,-79.69%,-77.73%,-36.11%,Upgrade
Shares Outstanding (Basic),20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,Upgrade
Shares Change,-1.17%,-2.28%,-3.22%,-3.81%,-4.19%,-3.39%,-2.44%,-0.50%,-0.40%,-0.17%,-0.18%,-0.20%,0.26%,0.22%,0.26%,0.24%,0.20%,0.21%,0.16%,0.14%,-0.01%,-0.01%,-0.02%,-0.22%,-0.24%,0.04%,0.06%,0.21%,0.21%,0.18%,0.26%,0.32%,0.26%,0.11%,0.06%,0.04%,-0.56%,-0.73%,-0.83%,-0.82%,Upgrade
EPS (Basic),1.42,1.00,0.99,1.20,1.42,0.89,0.99,1.16,1.26,0.98,0.98,0.77,1.29,1.24,0.88,0.86,1.42,0.84,0.84,0.75,1.32,0.24,0.51,0.48,0.97,0.49,0.47,0.40,0.86,0.36,0.27,0.40,0.66,0.25,0.25,0.31,0.58,0.07,0.22,0.30,Upgrade
EPS (Diluted),1.42,1.01,0.99,1.20,1.42,0.89,0.99,1.16,1.25,0.97,0.98,0.76,1.28,1.24,0.88,0.86,1.41,0.84,0.83,0.74,1.32,0.24,0.51,0.48,0.96,0.49,0.47,0.40,0.85,0.36,0.27,0.40,0.66,0.25,0.25,0.30,0.58,0.06,0.22,0.30,Upgrade
EPS Growth,0%,13.48%,0%,3.45%,13.60%,-8.25%,1.02%,52.63%,-2.34%,-21.77%,11.36%,-11.63%,-9.22%,47.62%,6.02%,16.22%,6.82%,250.00%,62.75%,54.17%,37.50%,-51.02%,8.51%,20.00%,12.94%,36.11%,74.07%,0%,28.79%,44.00%,8.00%,33.33%,13.79%,316.67%,13.64%,0%,-9.38%,-81.82%,-77.55%,-34.78%,Upgrade
