Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.12,0.1,0.18,0.19,0.04,0,0.01
Operating Expenses,0.12,0.1,0.18,0.19,0.04,0,0.01
Operating Income,-0.12,-0.1,-0.18,-0.19,-0.04,-0,-0.01
Other Expense / Income,-1,-0.52,-0.16,-0.01,-0,-,-
Pretax Income,0.89,0.42,-0.02,-0.18,-0.04,-0,-0.01
Net Income,0.89,0.42,-0.02,-0.18,-0.04,-0,-0.01
Shares Outstanding (Basic),15,15,15,15,4,3,3
Shares Outstanding (Diluted),15,15,15,15,4,3,3
Shares Change,313.71%,411.48%,411.48%,-,-,-,-
EPS (Basic),0.10,0.05,-,-0.01,24.46,-,-
EPS (Diluted),0.10,0.05,-,-0.01,24.46,-,-
EPS Growth,-99.59%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.01,0.02,-0.04,-0.03
EBITDA,0.89,0.42,-0.02,-0.18,-0.04,-0,-0.01
EBIT,0.89,0.42,-0.02,-0.18,-0.04,-0,-0.01
