Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+17 Quarters
Revenue,66.54,55.34,53.87,50.17,49.8,50.45,49.61,46.87,48.7,46.87,41.85,47.25,33.44,40.17,36.59,36.7,31.56,31.09,26.33,26.34,19.56,18.66,18.5,18.34,17.51,13.31,13.02,12.61,11.97,11.5,11.02,11.07,10.58,10.77,10.25,9.63,9.14,9.38,9.19,8.33,Upgrade
Revenue Growth (YoY),33.62%,9.69%,8.58%,7.03%,2.25%,7.64%,18.56%,-0.81%,45.65%,16.69%,14.37%,28.77%,5.94%,29.19%,38.95%,39.30%,61.34%,66.66%,42.31%,43.61%,11.70%,40.16%,42.08%,45.45%,46.33%,15.69%,18.19%,13.93%,13.13%,6.78%,7.55%,15.00%,15.77%,14.85%,11.48%,15.60%,21.68%,32.00%,39.71%,22.51%,Upgrade
Gross Profit,66.54,55.34,53.87,50.17,49.8,50.45,49.61,46.87,48.7,46.87,41.85,47.25,33.44,40.17,36.59,36.7,31.56,31.09,26.33,26.34,19.56,18.66,18.5,18.34,17.51,13.31,13.02,12.61,11.97,11.5,11.02,11.07,10.58,10.77,10.25,9.63,9.14,9.38,9.19,8.33,Upgrade
"Selling, General & Admin",28.87,31.38,22.93,21.07,20.68,28.6,20.17,19.85,19.93,27,19.32,19.07,16.15,22.4,14.24,14.15,13.14,16.66,11.43,11.54,9.08,18.27,8.72,9.11,8.99,10.36,6.85,6.51,6.22,8.19,5.77,5.75,5.74,8.57,5.94,5.5,5.32,8.33,4.81,4.83,Upgrade
Other Operating Expenses,16.8,3.66,12.98,9.89,7.92,2.19,8.89,7.6,7.33,0.89,7.62,9,7.29,2.57,6.58,6.74,8.75,5.59,8.36,8.14,5.52,-5.88,3.17,5.96,7.1,-0.23,2.56,2.41,2.17,0.09,2.21,2.34,2.08,-1.2,2.14,1.88,1.91,-1.02,2.82,2.41,Upgrade
Operating Expenses,45.67,35.04,35.9,30.96,28.59,30.79,29.05,27.45,27.26,27.9,26.94,28.07,23.44,24.96,20.83,20.89,21.89,22.25,19.79,19.68,14.6,12.39,11.89,15.07,16.1,10.13,9.42,8.92,8.4,8.27,7.98,8.09,7.82,7.36,8.07,7.38,7.23,7.31,7.63,7.25,Upgrade
Operating Income,20.87,20.31,17.97,19.21,21.21,19.66,20.56,19.42,21.44,18.98,14.91,19.18,10,15.21,15.76,15.81,9.67,8.84,6.55,6.66,4.97,6.27,6.62,3.27,1.42,3.18,3.61,3.69,3.57,3.23,3.04,2.98,2.76,3.41,2.17,2.24,1.91,2.07,1.56,1.08,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.69,-,-,-,-,-,-,Upgrade
Pretax Income,20.87,20.31,17.97,19.21,21.21,19.66,20.56,19.42,21.44,18.98,14.91,19.18,10,15.21,15.76,15.81,9.67,8.84,6.55,6.66,4.97,6.27,6.62,3.27,1.42,3.18,3.61,3.69,3.57,3.23,3.04,2.98,2.76,2.72,2.17,2.24,1.91,2.07,1.56,1.08,Upgrade
Income Tax,4.6,4.01,3.92,3.46,4.38,3.87,4.43,3.82,4.79,3.64,2.99,2.24,1.69,3.35,3.49,3.82,2.03,1.98,1.38,1.42,1.01,3.85,1.9,0.91,0.3,0.87,1.05,1.04,0.97,0.87,0.82,0.79,0.73,0.68,0.64,0.63,0.48,0.57,0.46,0.27,Upgrade
Net Income,16.27,16.3,14.04,15.75,16.83,15.79,16.13,15.6,16.64,15.33,11.92,16.94,8.31,11.86,12.27,11.98,7.64,6.86,5.16,5.25,3.96,2.41,4.71,2.37,1.12,2.31,2.56,2.65,2.6,2.36,2.23,2.19,2.03,2.04,1.53,1.61,1.43,1.5,1.1,0.81,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.11,0.11,Upgrade
Net Income Common,16.27,16.3,14.04,15.75,16.83,15.79,16.13,15.6,16.64,15.33,11.92,16.94,8.31,11.86,12.27,11.98,7.64,6.86,5.16,5.25,3.96,2.41,4.71,2.37,1.12,2.11,2.47,2.56,2.52,2.27,2.14,2.1,1.94,1.95,1.45,1.53,1.32,1.39,1,0.71,Upgrade
Net Income Growth,-3.32%,3.19%,-12.95%,0.98%,1.11%,2.98%,35.37%,-7.93%,100.26%,29.35%,-2.89%,41.39%,8.85%,72.79%,137.74%,128.47%,92.95%,184.22%,9.50%,121.68%,252.67%,14.30%,90.70%,-7.69%,-55.46%,-7.05%,15.46%,22.11%,29.58%,16.24%,47.86%,37.46%,47.16%,40.42%,45.09%,116.29%,18.05%,31.04%,30.29%,-24.17%,Upgrade
Shares Outstanding (Basic),31,24,24,20,20,21,21,21,21,21,21,21,19,19,17,17,17,13,13,13,12,9,9,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,Upgrade
Shares Change,51.64%,14.31%,14.31%,-2.53%,-2.53%,-1.80%,-1.81%,-1.78%,11.49%,13.81%,24.91%,24.61%,9.14%,43.86%,31.17%,31.42%,39.98%,42.43%,42.76%,42.88%,34.94%,68.30%,67.68%,67.53%,68.34%,0.95%,1.07%,1.07%,1.00%,1.72%,4.79%,4.89%,4.44%,4.01%,1.18%,63.87%,63.87%,64.28%,63.84%,1.07%,Upgrade
EPS (Basic),0.52,0.68,0.61,0.77,0.81,0.75,0.77,0.74,0.79,0.72,0.56,0.79,0.44,0.66,0.72,0.70,0.49,0.49,0.39,0.40,0.34,0.22,0.52,0.26,0.12,0.47,0.46,0.47,0.47,0.49,0.40,0.39,0.36,0.44,0.27,0.30,0.26,0.37,0.20,0.18,Upgrade
EPS (Diluted),0.52,0.67,0.61,0.76,0.81,0.75,0.76,0.74,0.79,0.72,0.55,0.79,0.44,0.65,0.71,0.69,0.48,0.49,0.39,0.40,0.34,0.22,0.51,0.26,0.12,0.26,0.45,0.47,0.46,0.48,0.39,0.39,0.36,0.43,0.27,0.29,0.25,0.37,0.19,0.18,Upgrade
EPS Growth,-35.80%,-10.67%,-19.74%,2.70%,2.53%,4.17%,38.18%,-6.33%,79.55%,10.77%,-22.54%,14.49%,-8.33%,32.65%,82.05%,72.50%,41.18%,122.73%,-23.53%,53.85%,183.33%,-15.38%,13.33%,-44.68%,-73.91%,-45.83%,15.38%,20.51%,27.78%,11.63%,44.44%,34.48%,44.00%,16.22%,42.11%,61.11%,-28.57%,-21.28%,-20.83%,-40.00%,Upgrade
Free Cash Flow Per Share,0.14,0.49,0.90,0.97,1.07,0.86,0.63,1.20,1.52,0.78,0.32,0.56,0.67,0.56,0.77,0.41,0.36,0.58,0.79,1.01,-0.30,0.55,0.77,0.41,0.11,0.68,0.05,-0.01,0.25,-0.05,0.84,0.12,0.43,-0.35,0.79,0.04,0.73,0.32,1.32,1.14,Upgrade
Dividend Per Share,0.210,0.200,0.190,0.180,0.170,0.160,0.150,0.140,0.130,0.120,0.100,0.100,0.100,0.080,0.080,0.080,0.070,0.050,0.050,0.050,0.050,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,Upgrade
Dividend Growth,23.53%,25.00%,26.67%,28.57%,30.77%,33.33%,50.00%,40.00%,30.00%,50.00%,25.00%,25.00%,42.86%,60.00%,60.00%,60.00%,40.00%,35.14%,35.14%,35.14%,35.14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,Upgrade
