Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
"Selling, General & Admin",0.18,0.15,0.39,0.19,0.7,0.01,0.01,0.01
Operating Expenses,0.18,0.15,0.39,0.19,0.7,0.01,0.01,0.01
Operating Income,-0.18,-0.15,-0.39,-0.19,-0.7,-0.01,-0.01,-0.01
Other Expense / Income,-3.28,-3.24,-3.37,-5.84,-2.74,-,-,-
Pretax Income,3.1,3.09,2.97,5.66,2.04,-0.01,-0.01,-0.01
Net Income,3.1,3.09,2.97,5.66,2.04,-0.01,-0.01,-0.01
Net Income Growth,51.67%,-,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,17,8,8,6
Shares Outstanding (Diluted),43,43,43,43,17,8,8,6
Shares Change,148.18%,475.00%,475.00%,590.00%,-,-,-,-
EPS (Basic),0.09,0.08,0.07,0.13,1.09,-,-,-
EPS (Diluted),0.09,0.08,0.07,0.13,1.09,-,-,-
EPS Growth,-91.74%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,-0.03,-0.00,-,-
EBITDA,3.1,3.09,2.97,5.66,2.04,-0.01,-0.01,-
EBIT,3.1,3.09,2.97,5.66,2.04,-0.01,-0.01,-0.01
