Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,16.45,18.01,18.25,17.01,20.37,21.28,18.86,17.93,18.96,17.86,17.76,15.3,11.52,14.66,14.34,14.03,13.57,13.4,13.42,12.97,12.67,12.6,12.38,12.59,12.54,11.72,11.97,11.5,12.05,12.62,12.89,12.2,11.97,12.16,12.27,12.03,11.74,12.21,12.31,11.9,Upgrade
Revenue Growth (YoY),-19.25%,-15.37%,-3.20%,-5.15%,7.43%,19.12%,6.17%,17.24%,64.64%,21.82%,23.90%,9.03%,-15.13%,9.44%,6.80%,8.18%,7.11%,6.33%,8.43%,3.00%,1.00%,7.48%,3.40%,9.52%,4.13%,-7.09%,-7.15%,-5.74%,0.68%,3.73%,5.09%,1.37%,1.93%,-0.35%,-0.35%,1.07%,0.03%,4.03%,51.96%,7.09%,Upgrade
Gross Profit,16.45,18.01,18.25,17.01,20.37,21.28,18.86,17.93,18.96,17.86,17.76,15.3,11.52,14.66,14.34,14.03,13.57,13.4,13.42,12.97,12.67,12.6,12.38,12.59,12.54,11.72,11.97,11.5,12.05,12.62,12.89,12.2,11.97,12.16,12.27,12.03,11.74,12.21,12.31,11.9,Upgrade
"Selling, General & Admin",9.61,9.51,9.38,9.06,9.35,10.92,9.15,9.31,9.51,9.15,9.22,8.85,8.49,7.69,7.79,7.69,7.74,8.33,7.92,7.94,8.32,7.91,7.87,7.49,7.4,7.25,7.04,7.28,7.17,7.22,7.32,7.26,7.18,6.99,7.64,6.9,6.87,7.18,6.86,6.9,Upgrade
Other Operating Expenses,2.87,3.07,2.82,2.48,2.88,2.65,2.62,2.53,2.27,2.46,2.44,2.42,2,1.97,1.8,1.98,2.15,1.86,2.01,2,1.94,2.09,1.89,2.19,1.95,2.03,2.05,2.08,1.91,2.32,1.65,2.01,1.53,2.1,2.26,1.91,1.83,2.4,3.12,2.39,Upgrade
Operating Expenses,12.48,12.58,12.2,11.54,12.23,13.58,11.77,11.84,11.78,11.6,11.66,11.27,10.49,9.66,9.59,9.67,9.89,10.19,9.93,9.94,10.27,10,9.77,9.69,9.35,9.29,9.09,9.35,9.08,9.54,8.98,9.27,8.71,9.09,9.9,8.81,8.71,9.58,9.97,9.28,Upgrade
Operating Income,3.97,5.43,6.06,5.47,8.14,7.7,7.09,6.09,7.18,6.26,6.1,4.03,1.03,5.01,4.75,4.36,3.68,3.21,3.49,3.02,2.4,2.6,2.61,2.9,3.19,2.44,2.89,2.14,2.96,3.08,3.92,2.93,3.26,3.07,2.37,3.22,3.03,2.63,2.34,2.62,Upgrade
Other Expense / Income,-0.01,0,-0,0.01,0,-0.01,-0.13,-,-0.01,-0.04,-0.01,-0.01,0,-,-0.07,-,-2.08,0,-0.05,-0.11,-0.1,-0.01,-,-,-,-0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
Pretax Income,3.98,5.43,6.06,5.46,8.14,7.71,7.21,6.09,7.2,6.31,6.11,4.03,1.03,5.01,4.81,4.36,5.76,3.2,3.54,3.13,2.5,2.61,2.61,2.9,3.19,3.04,2.89,2.14,2.96,3.08,3.92,2.93,3.26,3.07,2.37,3.22,3.03,2.63,2.34,2.62,Upgrade
Income Tax,0.71,0.71,1.13,0.97,1.53,1.72,1.42,1.2,1.36,1.12,1.15,0.75,0.16,0.94,0.95,0.84,1.09,0.59,0.45,0.23,0.41,4.98,0.85,0.98,1.09,1.05,1,0.73,0.97,1.08,1.38,1,1.12,1.07,0.8,1.12,1.05,0.9,0.77,0.81,Upgrade
