Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+69 Quarters
Revenue,43.05,41.88,35.87,29.5,30.28,30.13,30.86,32.87,32.19,28.95,26.54,25.44,26.87,25.96,25.7,26.85,28,25.19,18.72,19.16,20.39,18.19,17.15,17.47,18.03,15.7,16.18,18.32,17.5,15.31,15.08,15.17,14.92,13.61,13.7,12.9,14.04,13.23,12.69,12.31,Upgrade
Revenue Growth (YoY),42.19%,38.97%,16.25%,-10.23%,-5.94%,4.10%,16.26%,29.18%,19.81%,11.49%,3.29%,-5.23%,-4.06%,3.06%,37.26%,40.14%,37.35%,38.48%,9.20%,9.66%,13.08%,15.87%,5.97%,-4.62%,3.06%,2.57%,7.30%,20.75%,17.28%,12.48%,10.09%,17.62%,6.25%,2.87%,7.89%,4.74%,10.52%,11.51%,15.11%,6.75%,Upgrade
Gross Profit,43.05,41.88,35.87,29.5,30.28,30.13,30.86,32.87,32.19,28.95,26.54,25.44,26.87,25.96,25.7,26.85,28,25.19,18.72,19.16,20.39,18.19,17.15,17.47,18.03,15.7,16.18,18.32,17.5,15.31,15.08,15.17,14.92,13.61,13.7,12.9,14.04,13.23,12.69,12.31,Upgrade
"Selling, General & Admin",22.05,22.41,17.1,15.75,16.06,12.76,14.63,14.79,15.16,13.21,13.83,14.02,13.98,13.13,12.76,12.61,12.95,13.3,19,13.23,9.88,10.48,9.68,9.59,9.23,8.42,8.82,8.76,8.65,8.54,8.41,8.53,8.26,8.1,8.04,7.66,7.79,10.13,7.81,7.85,Upgrade
Other Operating Expenses,5.58,4.89,5.46,4.63,4.2,4.2,4.62,7.47,4.03,3.76,3.9,4.09,3.87,4,3.97,4.03,3.5,3.09,3.16,2.7,2.33,1.91,2.49,2.96,2.28,2.28,2.38,2.29,2.26,2.21,2.26,2.4,2.34,2.38,2.62,2.32,2.64,1.96,2.94,2.49,Upgrade
Operating Expenses,27.63,27.3,22.56,20.38,20.26,16.96,19.25,22.26,19.19,16.97,17.73,18.11,17.86,17.13,16.73,16.64,16.45,16.39,22.16,15.93,12.21,12.39,12.17,12.55,11.5,10.7,11.2,11.05,10.91,10.74,10.67,10.93,10.6,10.48,10.66,9.98,10.43,12.09,10.75,10.35,Upgrade
Operating Income,15.42,14.58,13.32,9.12,10.02,13.17,11.61,10.6,13,11.98,8.82,7.33,9.01,8.84,8.97,10.21,11.55,8.8,-3.43,3.23,8.18,5.81,4.98,4.92,6.53,5,4.98,7.27,6.59,4.57,4.41,4.24,4.31,3.13,3.04,2.92,3.61,1.14,1.95,1.97,Upgrade
Pretax Income,15.42,14.58,13.32,9.12,10.02,13.17,11.61,10.6,13,11.98,8.82,7.33,9.01,8.84,8.97,10.21,11.55,8.8,-3.43,3.23,8.18,5.81,4.98,4.92,6.53,5,4.98,7.27,6.59,4.57,4.41,4.24,4.31,3.13,3.04,2.92,3.61,1.14,1.95,1.97,Upgrade
Income Tax,2.53,2.43,2.21,1.42,1.55,2.19,1.97,1.44,2.24,1.81,1.13,0.83,1.18,1,1.26,1.55,1.89,1.23,-0,0.21,1.19,1.83,1.32,1.32,1.89,1.37,1.3,2.08,1.86,1.37,1.16,1.11,1.14,0.86,0.73,0.68,0.9,0.1,0.38,0.31,Upgrade
Net Income,12.89,12.15,11.11,7.7,8.47,10.98,9.64,9.16,10.76,10.17,7.68,6.5,7.83,7.84,7.71,8.66,9.67,7.57,-3.43,3.01,6.99,3.98,3.66,3.6,4.64,3.63,3.68,5.18,4.73,3.2,3.25,3.12,3.17,2.27,2.31,2.24,2.71,1.04,1.57,1.66,Upgrade
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.16,0.16,0.17,0.19,0.3,0.3,0.31,0.31,0.31,0.32,0.35,0.37,0.39,0.39,0.39,0.39,0.39,0.4,0.41,0.41,0.41,0.66,0.29,0.29,0.29,Upgrade
