Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,51.91,51.5,54.19,49.99,58.1,41.89,48.62,48.76,43.76,49.99,43.85,41.71,42.76,48.3,42.25,39.27,35.59,36.36,36.27,42.29,34.1,34.44,34.46,33.63,35.96,33.9,33.18,33.84,47.69,34.35,35.48,34.55,34.61,35.83,36.13,36.53,35.29,37.45,36.94,32.44,Upgrade
Revenue Growth (YoY),-10.65%,22.95%,11.46%,2.53%,32.78%,-16.20%,10.89%,16.90%,2.34%,3.49%,3.79%,6.22%,20.13%,32.85%,16.49%,-7.15%,4.37%,5.56%,5.23%,25.74%,-5.16%,1.62%,3.86%,-0.61%,-24.59%,-1.33%,-6.47%,-2.07%,37.80%,-4.12%,-1.82%,-5.41%,-1.95%,-4.32%,-2.18%,12.60%,6.85%,4.59%,6.96%,-8.95%,Upgrade
Gross Profit,51.91,51.5,54.19,49.99,58.1,41.89,48.62,48.76,43.76,49.99,43.85,41.71,42.76,48.3,42.25,39.27,35.59,36.36,36.27,42.29,34.1,34.44,34.46,33.63,35.96,33.9,33.18,33.84,47.69,34.35,35.48,34.55,34.61,35.83,36.13,36.53,35.29,37.45,36.94,32.44,Upgrade
"Selling, General & Admin",31.53,31.7,30.95,30.13,30.92,32.92,28.15,27.71,27.34,30.83,27,26.83,27.78,29.61,27.25,23.29,23.55,22.84,22.07,22.46,22.98,21.57,22.06,21.86,22.34,22.11,21.65,22.36,22.9,24.52,23.68,24.86,23.56,22.93,24.17,23.58,23.22,23.66,24.32,22.88,Upgrade
Other Operating Expenses,0.79,0.8,0.56,0.54,0.43,0.4,0.31,0.29,0.3,0.36,0.14,0.05,-0.23,0.2,0.16,0.2,0.14,0.26,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.09,0.36,0.4,0.45,0.42,0.47,0.45,0.43,0.44,0.54,0.47,0.49,0.49,0.5,0.5,Upgrade
Operating Expenses,32.32,32.5,31.5,30.67,31.34,33.31,28.46,28,27.64,31.19,27.13,26.88,27.55,29.81,27.41,23.49,23.69,23.1,22.3,22.68,23.21,21.8,22.28,22.09,22.58,22.2,22.01,22.76,23.35,24.94,24.15,25.31,23.99,23.36,24.71,24.05,23.71,24.15,24.82,23.38,Upgrade
Operating Income,19.59,19,22.69,19.32,26.76,8.58,20.16,20.76,16.12,18.8,16.72,14.82,15.2,18.49,14.84,15.77,11.9,13.26,13.97,19.61,10.89,12.65,12.18,11.55,13.38,11.7,11.18,11.08,24.34,9.41,11.33,9.24,10.61,12.47,11.43,12.48,11.59,13.29,12.12,9.06,Upgrade
Pretax Income,19.59,19,22.69,19.32,26.76,8.58,20.16,20.76,16.12,18.8,16.72,14.82,15.2,18.49,14.84,15.77,11.9,13.26,13.97,19.61,10.89,12.65,12.18,11.55,13.38,11.7,11.18,11.08,24.34,9.41,11.33,9.24,10.61,12.47,11.43,12.48,11.59,13.29,12.12,9.06,Upgrade
Income Tax,3.61,2.48,4.64,3.7,5.83,1.18,4.06,4.15,3.24,3.06,2.72,2.9,3.02,4.13,2.58,3.2,2.22,2.2,2.66,4.35,1.94,10.03,3.39,3.19,4.01,3.36,3.02,2.85,10.67,2.29,2.93,2.32,2.85,3.29,3.16,3.99,3.76,4.37,3.65,2.61,Upgrade
Net Income,15.98,16.52,18.05,15.61,20.92,7.4,16.1,16.61,12.88,15.74,14,11.92,12.18,14.36,12.26,12.57,9.68,11.06,11.31,15.26,8.95,2.62,8.79,8.35,9.37,8.34,8.16,8.23,13.68,7.11,8.4,6.92,7.76,9.18,8.27,8.49,7.83,8.92,8.47,6.45,Upgrade
