Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.6,0.29,0.15,0.33,0.2,0.41,0,0
Other Operating Expenses,0,0,0,0,0,0,0,0.01
Operating Expenses,0.6,0.29,0.15,0.33,0.2,0.41,0,0.01
Operating Income,-0.6,-0.29,-0.15,-0.33,-0.2,-0.41,0,-0.01
Other Expense / Income,-1.98,-1.53,-4.39,-3.47,-0.44,-8.8,-,-
Pretax Income,1.37,1.24,4.25,3.15,0.25,8.39,0,-0.01
Net Income,1.37,1.24,4.25,3.15,0.25,8.39,0,-0.01
Net Income Growth,458.98%,-85.23%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,15,21,5,5
Shares Outstanding (Diluted),25,25,25,25,15,21,5,5
Shares Change,68.02%,20.05%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.07,0.06,0.17,0.13,-0.18,0.40,-,-
EPS (Diluted),0.07,0.06,0.17,0.13,-0.18,0.40,-,-
EPS Growth,-,-85.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.01,0.00,-0.04,-,-
EBITDA,1.37,1.24,4.25,3.15,0.25,8.39,0,-
EBIT,1.37,1.24,4.25,3.15,0.25,8.39,0,-0.01
