Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.31,0.28,0.27,0.32,0.37,0.2,0,0.01
Operating Expenses,0.31,0.28,0.27,0.32,0.37,0.2,0,0.01
Operating Income,-0.31,-0.28,-0.27,-0.32,-0.37,-0.2,-0,-0.01
Other Expense / Income,-1.95,-2.29,-1.21,-3.99,-6.41,-1.96,-,-
Pretax Income,1.64,2,0.94,3.67,6.04,1.76,-0,-0.01
Net Income,1.64,2,0.94,3.67,6.04,1.76,-0,-0.01
Net Income Growth,-72.84%,14.10%,-,-,-,-,-,-
Shares Outstanding (Basic),24,24,24,24,24,6,4,4
Shares Outstanding (Diluted),24,24,24,24,24,6,4,4
Shares Change,-,310.19%,450.00%,532.50%,-,-,-,-
EPS (Basic),0.07,0.08,0.04,0.15,0.25,0.30,-,-
EPS (Diluted),0.07,0.08,0.04,0.15,0.25,0.30,-,-
EPS Growth,-72.00%,-73.33%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-0.10,0.00,-0.01
EBITDA,1.64,2,0.94,3.67,6.04,1.76,-0,-0.01
EBIT,1.64,2,0.94,3.67,6.04,1.76,-0,-0.01
