Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.24,0.23,0.15,0.14,0.22,0.06,0,0.02
Operating Expenses,0.24,0.23,0.15,0.14,0.22,0.06,0,0.02
Operating Income,-0.24,-0.23,-0.15,-0.14,-0.22,-0.06,-0,-0.02
Other Expense / Income,-0.97,-2.9,-2.95,-3.29,-7.11,-1.72,-,-
Pretax Income,0.72,2.67,2.81,3.15,6.89,1.66,-0,-0.02
Net Income,0.72,2.67,2.81,3.15,6.89,1.66,-0,-0.02
Net Income Growth,-89.48%,61.26%,-,-,-,-,-,-
Shares Outstanding (Basic),27,27,27,27,27,9,6,6
Shares Outstanding (Diluted),27,27,27,27,27,9,6,6
Shares Change,-,210.36%,360.00%,360.00%,-,-,-,-
EPS (Basic),0.03,0.10,0.10,0.12,0.26,0.19,-,-
EPS (Diluted),0.03,0.10,0.10,0.12,0.26,0.19,-,-
EPS Growth,-88.46%,-47.37%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.07,-,-
EBITDA,0.72,2.67,2.81,3.15,6.89,1.66,-0,-0.02
EBIT,0.72,2.67,2.81,3.15,6.89,1.66,-0,-0.02
