Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+35 Quarters
Revenue,78.44,79.76,71.38,68.04,75.56,78.38,73.05,81.16,83.35,88.22,83.01,89.08,79.17,91.94,91.49,91.75,95.19,94.67,93.53,95.38,94.18,94.94,92.8,89.93,97.54,98.56,98.21,97.56,102.34,101.76,97.47,99.94,101.79,104.89,102.34,100.62,96.17,94.31,88,87.51,Upgrade
Revenue Growth (YoY),3.81%,1.76%,-2.28%,-16.17%,-9.35%,-11.15%,-12.00%,-8.90%,5.28%,-4.04%,-9.27%,-2.91%,-16.83%,-2.88%,-2.18%,-3.80%,1.08%,-0.28%,0.78%,6.07%,-3.45%,-3.67%,-5.50%,-7.83%,-4.68%,-3.15%,0.76%,-2.37%,0.54%,-2.98%,-4.75%,-0.68%,5.84%,11.22%,16.29%,14.98%,11.17%,10.20%,9.49%,14.19%,Upgrade
Cost of Revenue,50.9,47.05,51.21,54.15,48.13,70.08,42.07,45.19,53.27,46.2,47.45,52.08,58.94,41.1,58.48,63.53,64.63,64.69,62.89,67.77,68.84,70.41,63.22,61.22,72.5,64.3,65.88,66.63,62.16,61.62,65.3,73.93,74.7,74.52,76.81,78.38,76.05,63.39,69.89,71.2,Upgrade
Gross Profit,27.54,32.72,20.17,13.89,27.43,8.3,30.98,35.97,30.08,42.02,35.56,37.01,20.23,50.84,33.01,28.23,30.56,29.98,30.64,27.61,25.34,24.53,29.59,28.71,25.05,34.26,32.33,30.94,40.18,40.14,32.17,26.01,27.09,30.36,25.53,22.25,20.13,30.92,18.11,16.31,Upgrade
"Selling, General & Admin",6.02,7.08,6.74,6.78,5.92,6.34,6.24,6.81,6.57,6.42,6.96,7.53,7.01,7.92,6.4,6.06,6.75,7.21,6.18,6.68,5.93,6.73,6.03,6.55,6.31,6.48,6.3,6.32,5.78,6.37,6.28,5.9,5.89,6.43,6.18,5.19,6.72,5.89,5.66,5.66,Upgrade
Other Operating Expenses,-0.02,-0.02,-0.02,-0.01,0.1,0.02,0.02,-0.01,-0.11,-0.01,-0.07,0.08,-0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Operating Expenses,6,7.07,6.72,6.76,6.01,6.37,6.25,6.8,6.46,6.41,6.89,7.62,6.99,7.92,6.4,6.06,6.75,7.21,6.18,6.68,5.93,6.73,6.03,6.55,6.31,6.48,6.3,6.32,5.78,6.37,6.28,5.9,5.89,6.43,6.18,5.19,6.72,5.89,5.66,5.66,Upgrade
Operating Income,21.54,25.65,13.45,7.12,21.42,1.93,24.72,29.17,23.63,35.62,28.67,29.39,13.24,42.93,26.61,22.17,23.81,22.78,24.46,20.93,19.41,17.8,23.56,22.15,18.73,27.78,26.03,24.62,34.4,33.77,25.89,20.11,21.2,23.94,19.35,17.06,13.4,25.03,12.45,10.65,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.07,0.03,0.03,Upgrade
Pretax Income,21.54,25.65,13.45,7.12,21.42,1.93,24.72,29.17,23.63,35.62,28.67,29.39,13.24,42.93,26.61,22.17,23.81,22.78,24.46,20.93,19.41,17.8,23.56,22.15,18.73,27.78,26.03,24.62,34.4,33.77,25.89,20.11,21.2,23.94,19.35,17.06,13.4,24.96,12.42,10.62,Upgrade
Income Tax,4.2,4.87,2.09,0.99,4.09,-1.61,5.59,5.4,4.31,7.12,5.32,5.44,2.44,8.91,5.23,4.28,4.41,3.97,4.76,3.97,3.25,17.15,6.98,6.67,5.21,8.71,8.13,7.98,10.14,10.7,7.95,5.79,6.07,7.07,5.87,4.29,2.86,7.59,2.75,3,Upgrade
Net Income,17.34,20.78,11.36,6.13,17.33,3.54,19.14,23.77,19.31,28.5,23.35,23.95,10.8,34.01,21.39,17.89,19.4,18.81,19.7,16.96,16.17,0.65,16.58,15.48,13.52,19.07,17.9,16.64,24.26,23.07,17.94,14.32,15.13,16.87,13.48,12.77,10.55,17.37,9.67,7.62,Upgrade
Net Income Growth,0.05%,486.78%,-40.63%,-74.20%,-10.26%,-87.58%,-18.06%,-0.76%,78.81%,-16.21%,9.20%,33.86%,-44.33%,80.87%,8.55%,5.51%,19.98%,2797.69%,18.85%,9.53%,19.56%,-96.60%,-7.37%,-6.96%,-44.25%,-17.34%,-0.25%,16.20%,60.32%,36.81%,33.10%,12.10%,43.43%,-2.92%,39.35%,67.67%,19.39%,88.53%,35.93%,121.26%,Upgrade
Shares Outstanding (Basic),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,Upgrade
Shares Outstanding (Diluted),19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,Upgrade
Shares Change,-1.01%,-0.98%,-0.71%,-0.25%,0.11%,0.20%,0.25%,0.23%,0.29%,0.32%,0.29%,0.15%,0.28%,0.14%,0.15%,0.21%,0.19%,0.28%,0.19%,0.20%,0.17%,0.10%,0.24%,0.22%,0.35%,0.22%,0.49%,0.55%,0.61%,1.14%,0.88%,0.98%,0.86%,1.03%,0.91%,0.98%,1.04%,1.36%,0.96%,0.67%,Upgrade
EPS (Basic),0.91,1.08,0.59,0.32,0.90,0.18,0.99,1.23,1.00,1.48,1.21,1.24,0.56,1.77,1.11,0.93,1.01,0.98,1.03,0.88,0.84,0.03,0.86,0.81,0.71,1.00,0.94,0.87,1.27,1.21,0.95,0.76,0.80,0.90,0.72,0.69,0.57,0.95,0.53,0.42,Upgrade
EPS (Diluted),0.90,1.08,0.59,0.32,0.89,0.18,0.99,1.23,0.99,1.47,1.21,1.24,0.56,1.76,1.11,0.93,1.01,0.97,1.02,0.88,0.84,0.03,0.86,0.81,0.70,0.99,0.93,0.87,1.27,1.21,0.94,0.75,0.79,0.89,0.71,0.68,0.56,0.93,0.52,0.41,Upgrade
EPS Growth,1.12%,500.00%,-40.40%,-73.98%,-10.10%,-87.76%,-18.18%,-0.81%,76.79%,-16.48%,9.01%,33.33%,-44.55%,81.44%,8.82%,5.68%,20.24%,3133.33%,18.60%,8.64%,20.00%,-96.97%,-7.53%,-6.90%,-44.88%,-18.18%,-1.06%,16.00%,60.76%,35.96%,32.39%,10.29%,41.07%,-4.30%,36.54%,65.85%,19.15%,86.00%,36.84%,115.79%,Upgrade
Free Cash Flow Per Share,0.70,-0.42,0.53,0.89,0.35,0.41,0.17,0.48,0.84,0.64,0.45,1.38,0.78,0.84,1.15,1.00,1.05,1.43,1.75,1.26,0.61,1.48,3.20,0.88,1.24,1.61,1.37,1.32,1.59,1.57,1.92,-0.34,1.70,2.01,2.27,1.58,1.62,1.57,2.19,2.02,Upgrade
Dividend Per Share,0.340,4.310,0.310,0.310,0.310,4.290,0.290,0.290,0.290,3.770,0.270,0.270,0.270,3.750,0.250,0.250,0.250,3.720,0.220,0.220,0.220,3.700,0.200,0.200,0.200,3.430,0.180,0.180,0.180,3.150,0.150,0.150,0.150,0.120,0.120,0.120,0.620,0.080,0.080,0.080,Upgrade
Dividend Growth,9.68%,0.47%,6.90%,6.90%,6.90%,13.79%,7.41%,7.41%,7.41%,0.53%,8.00%,8.00%,8.00%,0.81%,13.64%,13.64%,13.64%,0.54%,10.00%,10.00%,10.00%,7.87%,11.11%,11.11%,11.11%,8.89%,20.00%,20.00%,20.00%,2525.00%,25.00%,25.00%,-75.81%,50.00%,50.00%,50.00%,675.00%,-,-,-,Upgrade
