Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.26,0.43,0.35,0.79,0.22,0.16,0
Operating Expenses,0.26,0.43,0.35,0.79,0.22,0.16,0
Operating Income,-0.26,-0.43,-0.35,-0.79,-0.22,-0.16,-0
Other Expense / Income,-2.45,-1.99,-3.8,-5.82,-6.05,0.51,-
Pretax Income,2.2,1.56,3.45,5.03,5.83,-0.67,-0
Income Tax,0.41,0.21,0.03,0,0,0,0
Net Income,1.79,1.34,3.42,5.03,5.83,-0.67,-0
Net Income Growth,-69.34%,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,29,6
Shares Outstanding (Diluted),29,29,29,29,29,29,6
Shares Change,-,-,399.39%,-,-,-,-
EPS (Basic),-0.07,0.02,0.12,0.17,0.21,-0.93,-
EPS (Diluted),-0.07,0.02,0.12,0.17,0.21,-0.93,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.00,-0.03,-
Effective Tax Rate,18.52%,13.63%,0.82%,-,-,-,-
EBITDA,2.2,1.56,3.45,5.03,5.83,-0.67,-0
EBIT,2.2,1.56,3.45,5.03,5.83,-0.67,-0
