Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+18 Quarters
Dividend Growth,1.96%,1.96%,1.96%,10.87%,10.87%,10.87%,15.91%,4.55%,4.55%,9.52%,4.76%,4.76%,4.76%,0%,0%,10.53%,10.53%,10.53%,10.53%,11.76%,11.76%,11.76%,11.76%,30.77%,30.77%,36.00%,36.00%,4.00%,4.00%,4.17%,4.17%,4.17%,108.33%,100.00%,100.00%,100.00%,0%,0%,50.00%,50.00%,Upgrade
Gross Margin,28.16%,25.52%,21.82%,27.59%,27.13%,33.08%,39.95%,35.70%,33.56%,35.93%,35.10%,33.95%,27.63%,35.17%,33.33%,34.26%,30.50%,28.67%,31.42%,32.79%,28.25%,30.57%,30.10%,32.40%,26.85%,31.14%,29.01%,30.68%,25.54%,26.78%,26.77%,30.08%,27.06%,28.01%,30.14%,28.62%,25.65%,24.91%,28.26%,25.53%,Upgrade
Operating Margin,6.13%,5.22%,1.15%,7.76%,7.35%,14.88%,24.37%,18.31%,15.94%,18.48%,13.55%,14.84%,5.97%,17.38%,15.41%,16.11%,11.78%,9.17%,13.38%,14.22%,7.88%,11.38%,1.78%,13.28%,7.03%,6.00%,11.59%,11.85%,6.94%,9.15%,8.86%,11.25%,5.96%,10.29%,9.58%,7.04%,3.86%,7.29%,8.54%,4.90%,Upgrade
Profit Margin,3.17%,3.20%,0.11%,5.29%,4.81%,10.96%,17.41%,13.33%,11.55%,13.01%,9.52%,10.61%,4.47%,12.93%,11.20%,12.46%,8.41%,6.47%,9.82%,10.40%,5.88%,14.93%,1.41%,8.41%,4.43%,5.39%,7.12%,7.50%,4.37%,6.01%,5.46%,7.05%,3.39%,6.41%,6.41%,4.40%,2.14%,4.23%,4.91%,2.69%,Upgrade
Free Cash Flow Margin,-10.74%,10.45%,13.16%,5.53%,-0.23%,12.60%,13.93%,9.97%,9.67%,17.74%,14.61%,19.57%,0.64%,15.81%,17.14%,16.03%,0.54%,19.65%,12.92%,11.95%,1.68%,9.83%,12.39%,13.61%,-1.81%,13.87%,4.21%,12.61%,-6.44%,12.34%,11.24%,16.30%,-8.46%,12.87%,8.66%,11.36%,-12.42%,8.77%,5.04%,14.70%,Upgrade
Effective Tax Rate,22.86%,6.90%,-,22.14%,24.46%,21.69%,25.71%,23.93%,23.53%,26.55%,24.70%,23.90%,11.83%,22.18%,23.40%,18.45%,22.53%,21.93%,22.56%,23.20%,18.14%,-38.42%,-17.75%,33.74%,30.69%,0.60%,35.68%,33.37%,30.39%,30.06%,34.41%,33.98%,35.98%,34.37%,30.26%,33.75%,38.15%,39.04%,40.20%,41.18%,Upgrade
EBITDA,134.1,131,61,201,190.3,392,657,454,361,434.83,296.27,278.68,115.23,330.73,288.29,273.67,186.31,161.77,238.11,243.08,132.09,200.69,63.27,223.65,122.96,118.44,199.19,185.09,105.64,146.15,143.54,170.12,86.88,150.63,144.52,100.63,58.95,108.55,129.43,81.07,Upgrade
EBITDA Margin,9.27%,7.77%,3.34%,9.75%,9.36%,16.52%,25.70%,20.04%,17.82%,20.22%,15.48%,17.32%,8.16%,19.13%,17.25%,18.26%,14.29%,11.42%,15.44%,16.30%,10.18%,13.55%,4.16%,15.38%,9.34%,7.87%,13.21%,13.59%,8.79%,10.77%,10.37%,12.85%,7.82%,12.00%,11.47%,8.75%,5.82%,8.90%,9.95%,6.29%,Upgrade
Depreciation & Amortization,45.5,43,41,42,41,40,39,41,38,38.35,38.23,40.98,31.45,31.46,31.72,32.88,32.93,33.39,31.73,31.06,29.75,31.76,36,30.15,30.15,28.14,24.49,23.99,22.42,22.21,21.07,21.46,20.85,21.72,24.13,19.78,19.97,19.78,18.55,18.19,Upgrade
EBIT,88.6,88,20,159,149.3,352,618,413,323,396.48,258.04,237.7,83.78,299.27,256.57,240.79,153.38,128.37,206.38,212.02,102.34,168.92,27.27,193.51,92.81,90.3,174.7,161.1,83.22,123.94,122.47,148.66,66.03,128.91,120.39,80.85,38.98,88.78,110.87,62.88,Upgrade
EBIT Margin,6.13%,5.22%,1.10%,7.71%,7.34%,14.83%,24.18%,18.23%,15.94%,18.44%,13.48%,14.78%,5.93%,17.31%,15.35%,16.07%,11.77%,9.06%,13.38%,14.22%,7.89%,11.40%,1.79%,13.30%,7.05%,6.00%,11.58%,11.83%,6.93%,9.14%,8.85%,11.23%,5.94%,10.27%,9.56%,7.03%,3.85%,7.28%,8.52%,4.88%,Upgrade
