Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Revenue,179.99,195.16,187.8,172.76,165.7,116.01,126.55,123.32,123.33,118.91,112.73,99.29,95.74,129.29,136.41,133.67,103.06,102.58,98.42,93.06,87.83,88.45,87.84,84.1,78.51,76.51,77.13,77.03,73.52,74.21,73.49,73.31,68.31,66.54,64.76,63.66,60.62,61.22,60.68,59.21,Upgrade
Revenue Growth (YoY),8.62%,68.23%,48.40%,40.09%,34.36%,-2.44%,12.26%,24.21%,28.82%,-8.03%,-17.36%,-25.72%,-7.10%,26.03%,38.60%,43.64%,17.33%,15.98%,12.04%,10.64%,11.87%,15.59%,13.88%,9.18%,6.79%,3.10%,4.96%,5.07%,7.63%,11.52%,13.48%,15.16%,12.68%,8.70%,6.73%,7.52%,2.25%,5.29%,9.64%,20.56%,Upgrade
Gross Profit,179.99,195.16,187.8,172.76,165.7,116.01,126.55,123.32,123.33,118.91,112.73,99.29,95.74,129.29,136.41,133.67,103.06,102.58,98.42,93.06,87.83,88.45,87.84,84.1,78.51,76.51,77.13,77.03,73.52,74.21,73.49,73.31,68.31,66.54,64.76,63.66,60.62,61.22,60.68,59.21,Upgrade
"Selling, General & Admin",74.4,71.34,69.83,66.18,66.14,62.25,54.03,54.52,53.22,48.84,51.77,49.6,49.66,51.99,52.26,51.98,43.55,42.19,41.22,40.3,40.92,38.16,40.37,38.53,37.05,35.35,36.97,35.96,35.48,33.77,36.27,35.9,34.39,31,32.32,31.38,31.86,30.92,30.08,30.6,Upgrade
Other Operating Expenses,24.26,23.53,22.9,24.38,29.37,54.87,18.39,18.78,16.46,23.86,14.21,17,15.38,15.46,15.28,39.59,12.76,22.2,14.22,12.38,12.53,13.31,10.94,14.28,11.72,16.32,9.88,11.19,10.54,12.63,10.76,11.61,20.46,14.47,10.29,10.48,10.03,16.92,10.64,11.56,Upgrade
Operating Expenses,98.66,94.87,92.73,90.56,95.5,117.13,72.42,73.3,69.68,72.69,65.97,66.61,65.04,67.45,67.53,91.57,56.31,64.39,55.44,52.69,53.45,51.47,51.31,52.81,48.77,51.67,46.86,47.14,46.02,46.4,47.03,47.51,54.86,45.47,42.61,41.86,41.89,47.84,40.72,42.16,Upgrade
Operating Income,81.33,100.29,95.07,82.2,70.2,-1.12,54.13,50.02,53.65,46.22,46.76,32.68,30.7,61.85,68.88,42.1,46.75,38.19,42.98,40.37,34.38,36.97,36.53,31.3,29.74,24.85,30.28,29.89,27.51,27.82,26.46,25.8,13.45,21.08,22.15,21.8,18.73,13.38,19.95,17.04,Upgrade
Other Expense / Income,-,-,-,-,-,-,-,-,-,1.03,0.68,-,1.8,-,-,1.46,-,-,-,-,-,-0.01,0,0,0,-0.03,-,0,0.47,0.09,-,1.13,0.12,-1.1,-,1.12,-,-,-,-,Upgrade
Pretax Income,81.33,100.29,95.07,82.2,70.2,-1.12,54.13,50.02,53.65,45.18,46.07,32.68,28.9,61.85,68.88,40.64,46.75,38.19,42.98,40.37,34.38,36.98,36.53,31.29,29.74,24.88,30.28,29.88,27.04,27.72,26.46,24.66,13.33,22.18,22.15,20.68,18.73,13.38,19.95,17.04,Upgrade
Income Tax,20.08,23.24,23.17,20.42,17.11,-2.82,14.12,12.45,11.94,10.54,11.2,7.78,2.15,14.37,17.04,10.01,11.52,8.26,9.97,9.25,6.83,14.92,12.68,10.73,9.01,7.7,9.79,9.51,8.43,8.27,7.87,7.21,3.87,6.2,6.42,5.93,5.35,2.79,5.3,4.29,Upgrade
