Year,2022,2021,2020
Net Income,11.05,-5.7,-0.01
Other Operating Activities,-12.13,4.63,-0.02
Operating Cash Flow,-1.08,-1.07,-0.03
Change in Investments,0.35,-201.25,0
Investing Cash Flow,0.35,-201.25,0
Share Issuance / Repurchase,0,196.72,0.03
Debt Issued / Paid,0.8,-0.13,0.13
Other Financing Activities,-,5.77,-0.11
Financing Cash Flow,0.8,202.36,0.05
Net Cash Flow,0.07,0.04,0.02
Free Cash Flow,-1.08,-1.07,-0.03
Free Cash Flow Per Share,-0.04,-0.05,-0.01
