Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1985
Net Income,463.24,195.16,228.05,234.26,221.32,153.03,132.73,127.49,116.75,94.12,Upgrade
Depreciation & Amortization,255.82,175.94,43.37,38.65,34.55,30.12,29.27,30.25,31.72,29.52,Upgrade
Share-Based Compensation,32.79,18.1,12.82,15.31,12.5,9.09,7.1,5.59,1.2,1.64,Upgrade
Other Operating Activities,171.2,783.53,-57.7,-48.64,-44.99,-11.4,-25.59,-30.02,-7.54,78.45,Upgrade
Operating Cash Flow,923.05,"1,172.72",226.54,239.58,223.37,180.85,143.5,133.31,142.13,203.73,Upgrade
Operating Cash Flow Growth,-21.29%,417.66%,-5.44%,7.26%,23.52%,26.03%,7.64%,-6.21%,-30.24%,52.80%,Upgrade
Capital Expenditures,-94.5,-72.27,-55.91,-54.99,-39.54,-35.74,-25.09,-30.4,-17.21,-25.46,Upgrade
Acquisitions,-11.51,"2,306.57",2.07,172.61,134.17,0,-11.2,0,-7.06,-17.36,Upgrade
Change in Investments,"-3,823.2","-10,649.43","-4,469.57","-3,751.64","-1,855.31","-1,637.52","-1,310.39",-791.09,-836.73,"-1,303.36",Upgrade
Other Investing Activities,"2,218.53","5,261.61","2,094.01","2,339.11","2,338.26","1,038.31",405.44,194.48,401.64,866.15,Upgrade
Investing Cash Flow,"-1,710.68","-3,153.52","-2,429.4","-1,294.91",577.59,-634.94,-941.24,-627,-459.36,-480.03,Upgrade
Dividends Paid,-170.27,-108.75,-85.95,-72.76,-61.54,-48.35,-42.31,-33.37,-23.98,-11.38,Upgrade
Common Stock Issued,0,0,0,0,0.11,0.88,2.77,10.44,11.58,0.91,Upgrade
Share Repurchases,-183.58,-185.68,-91.18,-71.7,-194.37,-112.1,-24.16,-70.44,-0.71,0,Upgrade
Other Financing Activities,"1,477.79","2,781.18","2,281.98","1,056.97",-822.18,387.22,838.11,286.91,157.75,-388.42,Upgrade
Financing Cash Flow,"1,491.11","2,858.11","2,287.22","1,055.9",-689.25,451.86,822.74,334.42,146.06,-398.89,Upgrade
Net Cash Flow,703.47,877.31,84.36,0.57,111.71,-2.24,25,-159.28,-171.17,-675.19,Upgrade
Free Cash Flow,828.55,"1,100.46",170.63,184.59,183.83,145.11,118.41,102.91,124.92,178.27,Upgrade
Free Cash Flow Growth,-24.71%,544.94%,-7.56%,0.41%,26.69%,22.55%,15.06%,-17.62%,-29.93%,64.08%,Upgrade
Free Cash Flow Margin,44.92%,92.95%,16.61%,19.84%,21.44%,19.55%,16.16%,14.42%,18.21%,26.45%,Upgrade
Free Cash Flow Per Share,4.51,9.15,1.66,1.82,1.86,1.58,1.26,1.07,1.31,1.88,Upgrade
