Year,2022
Net Income,-39.05
Depreciation & Amortization,5.29
Share-Based Compensation,41.5
Other Operating Activities,-28.65
Operating Cash Flow,-20.92
Capital Expenditures,-227.92
Change in Investments,54.01
Investing Cash Flow,-173.91
Share Issuance / Repurchase,-3.09
Financing Cash Flow,-3.09
Net Cash Flow,-197.91
Free Cash Flow,-248.83
Free Cash Flow Per Share,-1.00
