Year,2022
Net Income,2.06
Other Operating Activities,-3.35
Operating Cash Flow,-1.29
Change in Investments,-191.65
Investing Cash Flow,-191.65
Share Issuance / Repurchase,189.75
Debt Issued / Paid,-0.21
Other Financing Activities,3.62
Financing Cash Flow,193.17
Net Cash Flow,0.22
Free Cash Flow,-1.29
Free Cash Flow Per Share,-0.06
