Year,2022,2021,2020
Net Income,-0.29,-0.82,-0.03
Other Operating Activities,-0.36,-0.1,0.01
Operating Cash Flow,-0.64,-0.92,-0.03
Change in Investments,0,-57.5,0
Investing Cash Flow,0,-57.5,0
Share Issuance / Repurchase,0,59.16,0.03
Debt Issued / Paid,0,-0.07,0.08
Financing Cash Flow,0,59.09,0.1
Net Cash Flow,-0.64,0.68,0.08
Free Cash Flow,-0.64,-0.92,-0.03
Free Cash Flow Per Share,-0.09,-0.27,-0.02
