Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,276.73,265.22,175.91,226.34,208.39,171.75,161.63,149.5,157.89,161.84,Upgrade
Depreciation & Amortization,31.93,29.39,29.33,29.63,28.16,28.1,27.4,27.85,25.81,28.35,Upgrade
Share-Based Compensation,14,8.4,7.53,7.41,7.97,5.21,5.59,5.74,5.78,5.03,Upgrade
Other Operating Activities,265.35,28.98,-57.54,-135.67,52.31,82.7,31.45,-5.55,21.22,106.4,Upgrade
Operating Cash Flow,598.27,342.27,157.37,127.71,296.82,287.76,226.07,177.54,210.71,301.62,Upgrade
Operating Cash Flow Growth,74.79%,117.50%,23.22%,-56.97%,3.15%,27.29%,27.33%,-15.74%,-30.14%,2.41%,Upgrade
Capital Expenditures,-21.25,-17.68,-20.24,-33.72,-39.88,-33.09,-19.67,-27.11,-24.56,-24.21,Upgrade
Acquisitions,-21.81,31.98,-1.88,-5.17,0,0,0,0,0,0,Upgrade
Change in Investments,"-1,496",-228.27,"-2,477.36",-854.46,-700.83,"-1,102.24","-1,017.94",-790.91,-250.89,-574.54,Upgrade
Other Investing Activities,-0,-,-,-,-,-,-,-,-,-,Upgrade
Investing Cash Flow,"-1,539.06",-213.97,"-2,499.48",-893.35,-740.72,"-1,135.33","-1,037.62",-818.03,-275.45,-598.75,Upgrade
Dividends Paid,-116.01,-112.03,-90.96,-92.33,-89.65,-80.37,-69.38,-65.36,-64.03,-46.53,Upgrade
Share Issuance / Repurchase,7.88,-36.47,-32.37,-105.1,-88.57,8.54,-2.38,-39.39,-187.05,-80.99,Upgrade
Debt Issued / Paid,"1,548.37",-923.32,157.31,17.41,87.09,184.31,22.9,-24.36,-673.42,379.56,Upgrade
Other Financing Activities,"-1,456.14",734.29,"3,638.17","1,017.75",578.63,784.67,881.51,765.01,876.4,7.33,Upgrade
Financing Cash Flow,-15.9,-337.52,"3,672.16",837.74,487.49,897.14,832.65,635.9,-48.1,259.37,Upgrade
Net Cash Flow,-956.69,-209.22,"1,330.04",72.1,43.59,49.57,21.11,-4.58,-112.84,-37.76,Upgrade
Free Cash Flow,577.02,324.59,137.13,94,256.94,254.67,206.4,150.43,186.15,277.41,Upgrade
Free Cash Flow Growth,77.77%,136.71%,45.89%,-63.42%,0.89%,23.39%,37.21%,-19.19%,-32.90%,8.16%,Upgrade
Free Cash Flow Margin,58.83%,34.09%,17.54%,11.30%,32.98%,33.51%,29.58%,22.14%,27.79%,41.14%,Upgrade
Free Cash Flow Per Share,3.44,2.01,0.84,0.57,1.46,1.45,1.19,0.86,1.00,1.44,Upgrade
