Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"5,927","6,033","4,184","3,028","3,063","2,220","2,259","1,936","1,983","1,563",Upgrade
Depreciation & Amortization,"1,366","1,384","1,608",630,555,550,555,461,424,421,Upgrade
Share-Based Compensation,0,0,0,0,141,132,115,106,102,96,Upgrade
Other Operating Activities,"3,455",68,"1,347","-2,334",416,"1,559",19,480,553,"3,111",Upgrade
Operating Cash Flow,"11,081","7,892","7,437","1,520","4,349","4,635","3,115","3,131","3,210","5,308",Upgrade
Operating Cash Flow Growth,40.41%,6.12%,389.28%,-65.05%,-6.17%,48.80%,-0.51%,-2.46%,-39.53%,42.92%,Upgrade
Capital Expenditures,-564,-442,-815,-224,-363,0,0,0,0,0,Upgrade
Acquisitions,"-4,673","-1,638","-2,439","6,256",-296,0,-726,"1,055","1,025",516,Upgrade
Change in Investments,"-24,848","-29,039","-40,020","2,150","-4,536","-5,278",-621,"-3,294","-5,666","-5,653",Upgrade
Other Investing Activities,113,-937,-378,166,232,-132,371,390,626,928,Upgrade
Investing Cash Flow,"-29,972","-32,056","-43,652","8,348","-4,963","-5,410",-976,"-1,849","-4,015","-4,209",Upgrade
Dividends Paid,"-2,656","-2,485","-2,424","-1,309","-1,204","-1,005",-925,-789,-666,-765,Upgrade
Share Issuance / Repurchase,-250,"-1,616",0,0,"-1,205","-1,613",-520,68,298,0,Upgrade
Debt Issued / Paid,"26,540","-4,031","-13,758","4,112",476,"4,962","-5,552","-1,143","1,177","3,804",Upgrade
Other Financing Activities,"-3,617","33,723","52,200","2,550","3,435","-2,893","5,115","1,968",156,"-5,012",Upgrade
Financing Cash Flow,"20,017","25,591","36,018","5,353","1,502",-549,"-1,882",104,965,"-1,973",Upgrade
Net Cash Flow,"1,126","1,427",-197,"15,221",888,"-1,324",257,"1,386",160,-874,Upgrade
Free Cash Flow,"10,517","7,450","6,622","1,296","3,986","4,635","3,115","3,131","3,210","5,308",Upgrade
Free Cash Flow Growth,41.17%,12.50%,410.96%,-67.49%,-14.00%,48.80%,-0.51%,-2.46%,-39.53%,42.92%,Upgrade
Free Cash Flow Margin,47.25%,32.24%,32.51%,10.84%,36.26%,43.04%,30.48%,34.10%,35.75%,58.59%,Upgrade
Free Cash Flow Per Share,7.92,5.57,4.92,1.61,5.16,5.80,3.87,4.19,4.47,7.55,Upgrade
