Year,2022,2021,2020
Net Income,32.49,50.73,-40.59
Share-Based Compensation,0.09,0.11,2.92
Other Operating Activities,-33.5,-52.05,37.58
Operating Cash Flow,-0.92,-1.21,-0.08
Change in Investments,536.49,0,-607.5
Investing Cash Flow,536.49,0,-607.5
Share Issuance / Repurchase,-536.49,0,621.68
Other Financing Activities,-,-,-11.41
Financing Cash Flow,-536.49,0,610.27
Net Cash Flow,-0.92,-1.21,2.69
Free Cash Flow,-0.92,-1.21,-0.08
Free Cash Flow Per Share,-0.01,-0.02,-0.00
