Year,2022
Net Income,0.6
Other Operating Activities,-0.86
Operating Cash Flow,-0.26
Change in Investments,-70.04
Investing Cash Flow,-70.04
Share Issuance / Repurchase,72.42
Debt Issued / Paid,-0.22
Other Financing Activities,-1.86
Financing Cash Flow,70.33
Net Cash Flow,0.04
Free Cash Flow,-0.26
Free Cash Flow Per Share,-0.06
