Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,250.18,202.82,154.24,194.45,172.88,112.83,104.87,98.83,81.57,60.02,Upgrade
Depreciation & Amortization,49.02,23.17,14.89,34.21,32.97,31.1,34.54,30.31,44.46,40.43,Upgrade
Share-Based Compensation,16.16,14.93,10.74,9.27,8.35,7.75,5.01,4.09,2.86,2.84,Upgrade
Other Operating Activities,-14.67,-5.85,12.42,-33.19,22.99,-23.15,1.43,1.53,8.73,-23.66,Upgrade
Operating Cash Flow,300.68,235.07,192.29,204.75,237.2,128.53,145.85,134.76,137.62,79.64,Upgrade
Operating Cash Flow Growth,27.92%,22.24%,-6.08%,-13.68%,84.56%,-11.88%,8.23%,-2.08%,72.81%,-40.97%,Upgrade
Capital Expenditures,29.79,9.76,-5.77,0.19,4.7,5.93,5.12,7.49,-9.65,-13.13,Upgrade
Acquisitions,0,154.98,0,0,0,80.47,0,0,15.47,-154.17,Upgrade
Change in Investments,-427.64,"-2,523.9","-1,949.58",-880.41,-523.12,-294.35,-560.2,-448.07,-552.89,-145.71,Upgrade
Other Investing Activities,2.16,0.8,36.57,14.77,12.34,8.46,6.53,17.52,25.11,31.96,Upgrade
Investing Cash Flow,-395.69,"-2,358.36","-1,918.79",-865.45,-506.08,-199.49,-548.55,-423.05,-521.96,-281.06,Upgrade
Dividends Paid,-94.31,-83.79,-95.51,-101.91,-83.44,-51.31,-88.68,-77.26,-49.49,-19.86,Upgrade
Share Issuance / Repurchase,-1.88,-1.79,-20.49,-51.6,-0.82,-7.66,0.22,0.35,0.31,0.66,Upgrade
Debt Issued / Paid,947,-35,-946,554,354.75,-105.57,-80.88,-161.63,186.4,-148.9,Upgrade
Other Financing Activities,"-1,288.77","2,414.82","3,194.59",230.3,-66.56,353.8,620.97,513.97,255.74,35.15,Upgrade
Financing Cash Flow,-437.97,"2,294.24","2,132.59",630.79,203.94,189.26,451.64,275.43,392.95,-132.94,Upgrade
Net Cash Flow,-532.97,170.95,406.09,-29.91,-64.95,118.3,48.94,-12.87,8.61,-334.37,Upgrade
Free Cash Flow,330.48,244.82,186.52,204.93,241.9,134.45,150.97,142.25,127.97,66.5,Upgrade
Free Cash Flow Growth,34.99%,31.26%,-8.99%,-15.28%,79.92%,-10.94%,6.13%,11.16%,92.43%,-43.53%,Upgrade
Free Cash Flow Margin,45.90%,39.69%,35.40%,34.91%,43.80%,28.67%,36.74%,34.88%,35.84%,20.92%,Upgrade
Free Cash Flow Per Share,4.23,3.37,2.63,2.85,3.34,2.25,2.64,2.50,2.43,1.39,Upgrade
