Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1995
Net Income,"5,735","5,436","7,284","5,129","5,061","5,076","3,688","3,881","3,947","3,952",Upgrade
Depreciation & Amortization,651,"1,773","1,497","1,315","1,129","1,117","1,193","1,088",988,"1,146",Upgrade
Share-Based Compensation,0,0,0,0,0,0,0,0,0,-23,Upgrade
Other Operating Activities,"2,391",-233,"-4,355",679,"1,410",-876,"-1,596",331,413,231,Upgrade
Operating Cash Flow,"9,083","7,214","4,659","7,363","7,840","5,579","3,500","5,525","5,585","5,555",Upgrade
Operating Cash Flow Growth,25.91%,54.84%,-36.72%,-6.08%,40.53%,59.40%,-36.65%,-1.07%,0.54%,-18.42%,Upgrade
Acquisitions,0,"-10,511","14,225",75,0,"-1,342",0,0,0,0,Upgrade
Change in Investments,"-10,383","11,348","-64,083","-24,360","-2,285","-12,333","-6,490","-15,554","-24,694","-19,064",Upgrade
Other Investing Activities,"-3,045","-3,632","-1,264",-705,"-1,684","-1,220",-817,-706,-199,129,Upgrade
Investing Cash Flow,"-13,428","-2,795","-51,122","-24,990","-3,969","-14,895","-7,307","-16,260","-24,893","-18,935",Upgrade
Dividends Paid,"-2,391","-2,056","-1,980","-1,895","-1,601","-1,266","-1,061","-1,038","-1,000",-911,Upgrade
Share Issuance / Repurchase,"-3,663","-1,013","-1,559","-3,488","-2,808","-2,315","-1,911","-2,013",-924,220,Upgrade
Debt Issued / Paid,"29,983","-7,991","-24,131","1,983","-1,541","6,512","-1,296","-2,367","10,469","5,333",Upgrade
Other Financing Activities,"-20,545","7,628","76,089","20,480","2,438","6,755","8,889","15,858","11,080","7,561",Upgrade
Financing Cash Flow,"3,384","-3,432","48,419","17,080","-3,512","9,686","4,621","10,440","19,625","12,203",Upgrade
Net Cash Flow,-961,987,"1,956",-547,359,370,814,-295,317,"-1,177",Upgrade
Free Cash Flow,"9,083","7,214","4,659","7,363","7,840","5,579","3,500","5,525","5,585","5,555",Upgrade
Free Cash Flow Growth,25.91%,54.84%,-36.72%,-6.08%,40.53%,59.40%,-36.65%,-1.07%,0.54%,-18.42%,Upgrade
Free Cash Flow Margin,43.01%,37.55%,27.57%,43.73%,48.42%,34.17%,23.08%,36.29%,36.33%,34.69%,Upgrade
Free Cash Flow Per Share,22.05,16.93,10.91,16.47,16.79,11.60,7.08,10.75,10.56,10.52,Upgrade
