Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Net Income,"792,276","842,467","547,614","619,091","595,333","562,801","476,067","448,466","569,910","442,294",Upgrade
Depreciation & Amortization,"122,993","122,055","109,426","106,092","79,280","77,823","65,359","53,614","44,127","61,074",Upgrade
Other Operating Activities,"-1,274,257","-1,559,201","-1,477,033","1,130,403","347,879","-1,056,981","194,727","185,716","-331,614","141,798",Upgrade
Operating Cash Flow,"-358,988","-594,679","-819,993","1,855,586","1,022,492","-416,357","736,153","687,796","282,423","645,166",Upgrade
Operating Cash Flow Growth,-,-,-,81.48%,-,-,7.03%,143.53%,-56.22%,-,Upgrade
Capital Expenditures,"-39,703","-55,497","-34,935","-48,724","-62,032","-40,832","-61,795","-64,990","-58,916","-40,441",Upgrade
Acquisitions,0,0,0,"-60,206",0,-3,"-1,123",-302,"-6,313","88,841",Upgrade
Other Investing Activities,"-54,899","-28,774","-35,170","-32,860","-29,533","-32,624","-27,281","-27,573","-27,437","-18,400",Upgrade
Investing Cash Flow,"-94,602","-84,271","-70,105","-141,790","-91,565","-73,459","-90,199","-92,865","-92,666","30,000",Upgrade
Dividends Paid,"-464,977","-310,468","-331,255","-355,141","-423,611","-330,645","-336,659","-330,199","-265,156","-240,687",Upgrade
Debt Issued / Paid,"80,654","549,129","433,345","-30,145",0,0,0,0,0,0,Upgrade
Financing Cash Flow,"-384,323","238,661","102,090","-385,286","-423,611","-330,645","-336,659","-330,199","-265,156","-240,687",Upgrade
Net Cash Flow,"-837,913","-440,289","-788,008","1,328,510","507,316","-820,460","309,295","264,732","-75,399","434,479",Upgrade
Free Cash Flow,"-398,691","-650,176","-854,928","1,806,862","960,460","-457,189","674,358","622,806","223,507","604,725",Upgrade
Free Cash Flow Growth,-,-,-,88.12%,-,-,8.28%,178.65%,-63.04%,-,Upgrade
Free Cash Flow Margin,-17.97%,-28.68%,-42.42%,113.25%,63.35%,-30.58%,50.31%,50.00%,17.08%,52.69%,Upgrade
Free Cash Flow Per Share,-846.27,-1380.08,-1814.69,3835.29,2038.69,-970.44,1431.41,1321.98,474.42,1283.60,Upgrade
