Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2000
Net Income,"17,170","14,049","11,628","11,434","11,120","10,324","8,795","7,925","7,740","6,455",Upgrade
Depreciation & Amortization,"1,766","2,066","2,141","1,405","1,391","1,307","1,337","1,250","1,131","1,039",Upgrade
Other Operating Activities,"19,754","33,765","215,571","-12,243","-6,960","14,424","27,243","26,145","17,006","19,710",Upgrade
Operating Cash Flow,"38,949","50,129","229,607",830,"5,693","26,127","37,401","35,307","25,913","27,284",Upgrade
Operating Cash Flow Growth,-22.30%,-78.17%,27563.49%,-85.42%,-78.21%,-30.14%,5.93%,36.25%,-5.02%,108.83%,Upgrade
Capital Expenditures,"-1,454","-1,129","-1,261","-1,385",-587,-434,-797,-972,-828,-751,Upgrade
Acquisitions,"2,479","-1,858",0,-540,0,"-2,129",0,"-2,918","-2,768","-6,211",Upgrade
Change in Investments,"-32,920","-42,281","-222,058","6,872","2,136","-16,371","-35,655","-43,221","-32,191","-9,144",Upgrade
Investing Cash Flow,"-31,895","-45,268","-223,319","4,947","1,549","-18,934","-36,452","-47,111","-35,787","-16,106",Upgrade
Dividends Paid,"-6,665","-5,555","-3,660","-5,157","-4,634","-4,211","-3,808","-3,444","-3,188","-2,647",Upgrade
Share Issuance / Repurchase,"-2,026",24,-804,"-2,048","-1,343","-1,396",-293,136,88,-516,Upgrade
Debt Issued / Paid,-657,-550,-126,"1,773",-718,"-1,036","2,283","14,869","13,344","-7,802",Upgrade
Other Financing Activities,"4,529","1,045",-156,-220,168,-392,"1,571",355,"-1,313",-105,Upgrade
Financing Cash Flow,"-4,819","-5,036","-4,746","-5,652","-6,527","-7,035",-247,"11,916","8,931","-11,070",Upgrade
Net Cash Flow,"2,625",-514,"1,582",128,764,64,753,373,-800,145,Upgrade
Free Cash Flow,"37,495","49,000","228,346",-555,"5,106","25,693","36,604","34,335","25,085","26,533",Upgrade
Free Cash Flow Growth,-23.48%,-78.54%,-,-,-80.13%,-29.81%,6.61%,36.87%,-5.46%,116.56%,Upgrade
Free Cash Flow Margin,76.47%,114.77%,523.18%,-1.35%,13.13%,70.97%,106.67%,109.26%,83.73%,97.34%,Upgrade
Free Cash Flow Per Share,20.68,26.98,125.98,-0.30,2.77,13.83,19.72,18.57,13.64,14.44,Upgrade
