Year,2022,2021,2020
Net Income,9.44,11.63,-6.05
Other Operating Activities,-10.39,-12.64,5.47
Operating Cash Flow,-0.96,-1.01,-0.58
Change in Investments,181.09,0,-230
Investing Cash Flow,181.09,0,-230
Share Issuance / Repurchase,-180.86,0,237.38
Other Financing Activities,1.03,-,-5.07
Financing Cash Flow,-179.83,0,232.31
Net Cash Flow,0.31,-1.01,1.72
Free Cash Flow,-0.96,-1.01,-0.58
Free Cash Flow Per Share,-0.03,-0.04,-0.12
