Year,2022,2021,2020
Net Income,-0.64,15.84,-10.8
Other Operating Activities,-1.96,-17.08,10.23
Operating Cash Flow,-2.6,-1.24,-0.57
Change in Investments,246.5,0,-345
Investing Cash Flow,246.5,0,-345
Share Issuance / Repurchase,-248.09,0,338.13
Debt Issued / Paid,3.42,1.5,0
Other Financing Activities,-,-,8.03
Financing Cash Flow,-244.66,1.5,346.16
Net Cash Flow,-0.77,0.26,0.59
Free Cash Flow,-2.6,-1.24,-0.57
Free Cash Flow Per Share,-0.08,-0.03,-0.02
