Year,2021
Net Income,1.39
Other Operating Activities,-2.24
Operating Cash Flow,-0.84
Change in Investments,-101.05
Investing Cash Flow,-101.05
Share Issuance / Repurchase,105.1
Other Financing Activities,-3.14
Financing Cash Flow,101.96
Net Cash Flow,0.07
Free Cash Flow,-0.84
Free Cash Flow Per Share,-0.28
