Year,2022,2021
Net Income,0.86,-0
Other Operating Activities,-1.63,0
Operating Cash Flow,-0.77,-0
Change in Investments,-102,0
Investing Cash Flow,-102,0
Share Issuance / Repurchase,100,0.03
Debt Issued / Paid,-0.04,0.04
Other Financing Activities,3.32,-0.06
Financing Cash Flow,103.29,0
Net Cash Flow,0.52,0
Free Cash Flow,-0.77,-0
Free Cash Flow Per Share,-0.07,-
