Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,188.08,189.69,164.68,169.06,168.64,150.72,103.81,91.23,91.35,78.83,Upgrade
Depreciation & Amortization,30.43,30.16,30.64,32.23,34.35,33.46,20.4,17.2,17.81,17.23,Upgrade
Share-Based Compensation,7.74,6.33,6.42,5.29,6.06,5.14,4.78,4.2,3.99,3.96,Upgrade
Other Operating Activities,-11.65,-23.64,-22.25,-4.07,12.35,0.36,6.78,6.93,8.95,3.16,Upgrade
Operating Cash Flow,214.6,202.55,179.48,202.5,221.41,189.67,135.77,119.57,122.1,103.18,Upgrade
Operating Cash Flow Growth,5.95%,12.85%,-11.37%,-8.54%,16.73%,39.70%,13.55%,-2.08%,18.34%,-4.83%,Upgrade
Capital Expenditures,-10.49,-13.18,-14.4,-5.69,-12.65,-10.82,-12.44,-12.4,-13.38,-13.86,Upgrade
Acquisitions,-0.92,-29.98,32.89,-6.29,-2.93,-108.15,-0.58,25.51,-0.92,291.98,Upgrade
Change in Investments,"-2,127.58","-1,487.62",-417.21,-146.68,33.08,248.56,-112.11,-287.27,-317.93,275.13,Upgrade
Other Investing Activities,-,-,-,1.6,-,1.78,3.13,-,1.1,-,Upgrade
Investing Cash Flow,"-2,138.99","-1,530.78",-398.72,-157.05,17.5,131.37,-122,-274.16,-331.13,553.26,Upgrade
Dividends Paid,-93.39,-91.05,-87.13,-80.24,-71.5,-62.31,-55.05,-49.27,-46.18,-43.48,Upgrade
Share Issuance / Repurchase,-15.43,4.72,15.61,13.51,18.71,11.32,15.96,17.22,6.58,15.24,Upgrade
Debt Issued / Paid,790.24,-41.38,18.85,-87.09,-72.55,-144.81,-155.1,-36.7,196.09,-673.48,Upgrade
Other Financing Activities,-422.2,"1,685.2","1,712.69",101.56,-122.77,-78.07,201.06,238.16,41.29,-33.63,Upgrade
Financing Cash Flow,259.22,"1,557.49","1,660.01",-52.25,-248.11,-273.86,6.87,169.41,197.78,-735.35,Upgrade
Net Cash Flow,"-1,665.17",229.26,"1,440.78",-6.8,-9.2,47.18,20.65,14.81,-11.25,-78.91,Upgrade
Free Cash Flow,204.11,189.37,165.09,196.82,208.76,178.86,123.33,107.17,108.73,89.33,Upgrade
Free Cash Flow Growth,7.78%,14.71%,-16.12%,-5.72%,16.72%,45.02%,15.08%,-1.44%,21.72%,-8.45%,Upgrade
Free Cash Flow Margin,30.71%,30.08%,28.34%,33.85%,37.39%,35.27%,29.26%,29.34%,30.52%,26.88%,Upgrade
Free Cash Flow Per Share,3.80,3.51,3.08,3.81,4.08,3.53,2.78,2.61,2.68,2.21,Upgrade
