Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1988
Net Income,"-22,058","89,795","42,521","81,417","4,021","44,940","24,074","24,083","19,872","19,476",Upgrade
Depreciation & Amortization,"10,899","10,718","10,596","10,064","9,779","9,188","8,901","7,779","7,370","6,508",Upgrade
Other Operating Activities,"48,383","-61,092","-13,344","-52,794","23,600","-8,352",-440,-371,"4,768","1,720",Upgrade
Operating Cash Flow,"37,224","39,421","39,773","38,687","37,400","45,776","32,535","31,491","32,010","27,704",Upgrade
Operating Cash Flow Growth,-5.57%,-0.89%,2.81%,3.44%,-18.30%,40.70%,3.32%,-1.62%,15.54%,32.24%,Upgrade
Capital Expenditures,"-15,464","-13,276","-13,012","-15,979","-14,537","-11,708","-12,954","-16,082","-15,185","-11,087",Upgrade
Acquisitions,"-10,594",-456,"-2,532","-1,683","-3,279","-2,708","-31,399","-4,902","-4,824","-6,431",Upgrade
Change in Investments,"-441,922","-364,524","-458,928","-322,797","-356,575","-334,384","-186,474","-41,166","-35,176","-47,737",Upgrade
Other Investing Activities,"380,379","407,648","436,715","334,838","341,542","307,709","146,560","35,482","35,816","37,720",Upgrade
Investing Cash Flow,"-87,601","29,392","-37,757","-5,621","-32,849","-41,091","-84,267","-26,668","-19,369","-27,535",Upgrade
Share Repurchases,"-7,854","-27,061","-24,706","-4,850","-1,346",0,0,0,0,0,Upgrade
Other Financing Activities,"-9,516","-55,569","-43,050","-4,120","-7,158","-1,398","12,791","3,803","2,731",961,Upgrade
Financing Cash Flow,"-1,662","-28,508","-18,344",730,"-5,812","-1,398","12,791","3,803","2,731",961,Upgrade
Net Cash Flow,"-52,307","40,310","-16,236","33,821","-1,401","3,535","-39,113","8,461","15,083","1,194",Upgrade
Free Cash Flow,"21,760","26,145","26,761","22,708","22,863","34,068","19,581","15,409","16,825","16,617",Upgrade
Free Cash Flow Growth,-16.77%,-2.30%,17.85%,-0.68%,-32.89%,73.98%,27.08%,-8.42%,1.25%,48.70%,Upgrade
Free Cash Flow Margin,9.29%,7.37%,9.35%,6.94%,10.14%,14.07%,8.76%,7.31%,8.64%,9.12%,Upgrade
Free Cash Flow Per Share,9.88,11.54,11.19,9.27,9.27,13.81,7.94,6.25,6.83,6.74,Upgrade
