Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"6,635","5,360","3,043","3,526","3,329","2,180","1,746","1,364","1,261","1,010",Upgrade
Depreciation & Amortization,"1,248","1,164",604,349,306,269,234,224,199,202,Upgrade
Share-Based Compensation,366,254,204,183,197,153,141,135,115,116,Upgrade
Other Operating Activities,"-6,740","-5,155","2,745","5,089","8,446","-3,615","1,339",-560,713,267,Upgrade
Operating Cash Flow,"2,057","2,118","6,852","9,325","12,456",-839,"3,603","1,246","2,348","1,656",Upgrade
Operating Cash Flow Growth,-2.88%,-69.09%,-26.52%,-25.14%,-,-,189.17%,-46.93%,41.79%,30.81%,Upgrade
Capital Expenditures,-971,-916,-631,-708,-570,-400,-346,-266,-400,-249,Upgrade
Acquisitions,0,0,"14,748",0,0,0,0,0,0,0,Upgrade
Change in Investments,"33,155","-74,604","-139,983","12,728","-39,889","-20,014","-38,390","-28,322","-7,984","-19,803",Upgrade
Other Investing Activities,-136,-143,15,-56,-96,-59,-39,-35,-11,2,Upgrade
Investing Cash Flow,"32,048","-75,663","-125,851","11,964","-40,555","-20,473","-38,775","-28,623","-8,395","-20,050",Upgrade
Dividends Paid,"-2,110","-1,822","-1,280","-1,060",-787,-592,-486,-387,-373,-368,Upgrade
Share Issuance / Repurchase,"-3,331",221,79,"-2,102",-875,171,144,90,189,258,Upgrade
Debt Issued / Paid,"14,126","10,066","2,370",593,"-12,885","16,872",-7,989,-6,-31,Upgrade
Other Financing Activities,"-77,408","87,858","142,813","-11,370","61,713","6,148","35,312","27,300","9,872","13,600",Upgrade
Financing Cash Flow,"-68,723","96,323","143,982","-13,939","47,166","22,599","34,963","27,992","9,682","13,459",Upgrade
Net Cash Flow,"-34,618","22,778","24,983","7,350","19,067","1,287",-209,615,"3,635","-4,935",Upgrade
Free Cash Flow,"1,086","1,202","6,221","8,617","11,886","-1,239","3,257",980,"1,948","1,407",Upgrade
Free Cash Flow Growth,-9.65%,-80.68%,-27.81%,-27.50%,-,-,232.35%,-49.69%,38.45%,25.85%,Upgrade
Free Cash Flow Margin,5.23%,6.49%,53.21%,80.37%,117.31%,-14.38%,43.55%,15.36%,32.16%,25.89%,Upgrade
Free Cash Flow Per Share,0.58,0.64,4.35,6.57,8.82,-0.93,2.46,0.74,1.50,1.09,Upgrade
