Year,2022,2021,2020
Net Income,3.79,8.7,-2.54
Share-Based Compensation,0,0.4,0
Other Operating Activities,-6.81,-9.79,2.28
Operating Cash Flow,-3.02,-0.69,-0.25
Change in Investments,100.38,-1.15,-116.73
Investing Cash Flow,100.38,-1.15,-116.73
Share Issuance / Repurchase,-101.55,0,112.73
Debt Issued / Paid,4.2,1.15,0
Other Financing Activities,-,-,4.95
Financing Cash Flow,-97.34,1.15,117.67
Net Cash Flow,0.01,-0.69,0.69
Free Cash Flow,-3.02,-0.69,-0.25
Free Cash Flow Per Share,-0.33,-0.05,-0.06
