Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,222.38,271.44,114.77,148.81,134.74,50.24,64.08,53.53,53.76,45.25,Upgrade
Depreciation & Amortization,60.54,37.84,38.2,49.82,11.27,11.64,9.92,8.18,7.21,6.97,Upgrade
Share-Based Compensation,6.35,5.69,2.68,3.61,2.29,3.4,3.05,4.1,4.54,2.94,Upgrade
Other Operating Activities,191.59,-189.33,-140.51,-112.37,-12.73,64.89,3.14,8.37,2.35,0.59,Upgrade
Operating Cash Flow,480.85,125.65,15.14,89.87,135.57,130.17,80.18,74.18,67.85,57.38,Upgrade
Operating Cash Flow Growth,282.70%,729.80%,-83.15%,-33.71%,4.15%,62.34%,8.09%,9.32%,18.25%,-44.31%,Upgrade
Capital Expenditures,-7.62,-6.15,-7.09,-14.13,-5.3,-7.73,-9.87,-8.36,-4.74,-2.86,Upgrade
Acquisitions,573.75,0,0,76.07,4.62,-10.07,39.41,37.27,8.66,1.8,Upgrade
Change in Investments,-706.9,"-1,488.71",-869.87,169.08,-458.69,-377.43,-310.55,-309.58,-35.68,-177.91,Upgrade
Other Investing Activities,3.4,2.49,2.01,62.8,99.47,6.45,4.42,4.83,5.19,6.51,Upgrade
Investing Cash Flow,-137.37,"-1,492.37",-874.94,293.82,-359.91,-388.79,-276.59,-275.84,-26.56,-172.46,Upgrade
Dividends Paid,-35.75,-24.24,-24.37,-22.46,-13.25,-9.43,-7.63,-6,-4.64,-6,Upgrade
Share Issuance / Repurchase,-196.9,-11.75,-153.8,-89.43,-19.95,-8.33,-12.41,-28.5,-5.37,4.35,Upgrade
Debt Issued / Paid,350,-106.62,-153.27,-178.77,-251.56,-301.57,274,263.66,-228.38,243.73,Upgrade
Other Financing Activities,"-1,156.52","1,387.54","2,274.23",-142.04,405.99,479.89,203.2,25.65,220.73,-143.47,Upgrade
Financing Cash Flow,"-1,039.17","1,244.92","1,942.79",-432.69,121.23,160.56,457.16,254.8,-17.68,98.62,Upgrade
Net Cash Flow,-695.68,-121.8,"1,082.98",-49.01,-103.11,-98.06,260.74,53.14,23.61,-16.46,Upgrade
Free Cash Flow,473.24,119.5,8.05,75.74,130.27,122.44,70.31,65.82,63.12,54.52,Upgrade
Free Cash Flow Growth,296.02%,1384.09%,-89.37%,-41.86%,6.40%,74.15%,6.83%,4.27%,15.77%,-42.56%,Upgrade
Free Cash Flow Margin,54.09%,16.23%,1.57%,12.47%,32.91%,36.55%,24.60%,26.40%,28.79%,26.65%,Upgrade
Free Cash Flow Per Share,7.68,2.51,0.16,1.45,4.15,3.90,2.24,2.21,2.24,2.05,Upgrade
