Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,414.17,277.54,226.41,238.21,190.83,95.73,134.26,116.72,103.67,100.92,Upgrade
Depreciation & Amortization,62.29,38.61,43,43.63,38.22,34.02,29.04,25.85,21.49,19.39,Upgrade
Share-Based Compensation,28.66,7.5,7.71,7.99,8.52,6.35,7.32,4.26,4.16,3.96,Upgrade
Other Operating Activities,295.19,6.73,-57.3,-56.07,-3.16,113.98,-145.82,-23.06,70.03,41.14,Upgrade
Operating Cash Flow,814.43,330.38,219.82,233.76,234.41,250.08,24.81,123.76,199.35,165.41,Upgrade
Operating Cash Flow Growth,146.51%,50.30%,-5.96%,-0.28%,-6.27%,908.11%,-79.95%,-37.92%,20.52%,44.73%,Upgrade
Capital Expenditures,-33.42,-19.45,-23.05,-33.65,-26.05,-18.71,-218.33,-77.95,-17.72,-15.22,Upgrade
Acquisitions,"1,912.63",0,0,0,-149.9,2.56,29.24,-370.19,-3.05,361.73,Upgrade
Change in Investments,"-3,575.08","-1,415.51","-2,123.3",-498.55,-101.97,-522.6,-465.77,-57.53,-168.11,-265.08,Upgrade
Other Investing Activities,10.36,3.38,4.89,6.8,6.5,2.35,14.1,4.77,26.71,19.53,Upgrade
Investing Cash Flow,"-1,685.51","-1,431.58","-2,141.45",-525.4,-271.42,-536.4,-640.76,-500.9,-162.16,100.95,Upgrade
Dividends Paid,-177.62,-92.83,-92.95,-89.47,-82.16,-72.6,-67.54,-55.55,-48.18,-40.28,Upgrade
Share Issuance / Repurchase,-70.37,-3.15,-81.78,-101.57,-0.36,0.3,0.69,-87.31,-25.5,-24,Upgrade
Debt Issued / Paid,"1,461.19",-102.26,-74.32,238.41,-115.29,308.47,228.82,410.53,373.5,194,Upgrade
Other Financing Activities,-435.72,"1,531.74","2,484.06",203.45,261.55,85.06,489.68,89.33,-303.76,-453.43,Upgrade
Financing Cash Flow,777.48,"1,333.51","2,235.01",250.82,63.74,321.23,651.65,357,-3.95,-323.7,Upgrade
Net Cash Flow,-93.61,232.31,313.38,-40.83,26.73,34.91,35.7,-20.15,33.24,-57.34,Upgrade
Free Cash Flow,781,310.93,196.78,200.1,208.36,231.37,-193.52,45.81,181.63,150.19,Upgrade
Free Cash Flow Growth,151.18%,58.01%,-1.66%,-3.96%,-9.95%,-,-,-74.78%,20.94%,51.59%,Upgrade
Free Cash Flow Margin,49.34%,37.01%,24.83%,25.05%,28.70%,37.47%,-29.56%,7.71%,34.37%,29.77%,Upgrade
Free Cash Flow Per Share,2.84,1.88,1.19,1.16,1.34,1.68,-1.51,0.40,1.69,1.49,Upgrade
