Year,2022,2021,2020
Net Income,3.01,6.05,-7.63
Other Operating Activities,-4.4,-7.27,7.32
Operating Cash Flow,-1.39,-1.22,-0.3
Change in Investments,138.72,0,-143.75
Investing Cash Flow,138.72,0,-143.75
Share Issuance / Repurchase,-140.04,0,140.88
Debt Issued / Paid,2.45,0.6,-0.24
Other Financing Activities,0.18,-,4.15
Financing Cash Flow,-137.41,0.6,144.78
Net Cash Flow,-0.08,-0.62,0.73
Free Cash Flow,-1.39,-1.22,-0.3
Free Cash Flow Per Share,-0.18,-0.07,-0.03
