Year,2022
Net Income,0.91
Other Operating Activities,-1.42
Operating Cash Flow,-0.52
Change in Investments,-116.73
Investing Cash Flow,-116.73
Share Issuance / Repurchase,117.72
Debt Issued / Paid,-0.17
Financing Cash Flow,117.54
Net Cash Flow,0.3
Free Cash Flow,-0.52
Free Cash Flow Per Share,-0.04
