Year,2022,2021,2020
Net Income,9.34,15.23,-7.12
Other Operating Activities,-9.72,-15.95,6.46
Operating Cash Flow,-0.38,-0.72,-0.65
Change in Investments,0.08,0,-300
Other Investing Activities,283.62,-,-
Investing Cash Flow,283.71,0,-300
Share Issuance / Repurchase,-283.62,0,302.03
Other Financing Activities,0.25,-,-0.61
Financing Cash Flow,-283.37,0,301.42
Net Cash Flow,-0.04,-0.72,0.76
Free Cash Flow,-0.38,-0.72,-0.65
Free Cash Flow Per Share,-0.03,-0.02,-0.05
