Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,404.27,606.96,"-1,237.57",468.64,465.34,357.82,352.17,299.62,168.91,45.12,Upgrade
Depreciation & Amortization,97.4,95.34,89.02,87.23,57.67,46.27,49.4,34.3,26.69,31.51,Upgrade
Share-Based Compensation,34.77,32.22,24.36,26.82,29.77,25.57,18.91,14.79,31.85,19.11,Upgrade
Other Operating Activities,146.19,-231.56,"1,608.06",-0.03,55.25,54.31,160.63,245.18,104.67,-45.49,Upgrade
Operating Cash Flow,701.97,502.96,483.87,582.66,608.03,483.97,581.11,593.88,332.11,50.25,Upgrade
Operating Cash Flow Growth,39.57%,3.94%,-16.95%,-4.17%,25.63%,-16.72%,-2.15%,78.82%,560.89%,-57.41%,Upgrade
Capital Expenditures,-120.85,-47.95,-59.29,-70.03,-40.94,-71.21,-59.72,-74.09,31.58,-3.57,Upgrade
Acquisitions,0,"3,757.12",0,0,0,160.32,-39.84,260.94,346.05,273.01,Upgrade
Change in Investments,"-3,469.02","-9,430.41","-1,623.85",-570.42,-893.28,-71.19,-870.42,-862.15,154.46,107.01,Upgrade
Other Investing Activities,19.8,6.78,2.16,9.15,17.03,14.82,11.42,32.81,24.46,36.49,Upgrade
Investing Cash Flow,"-3,570.07","-5,714.46","-1,680.98",-631.31,-917.19,32.74,-958.55,-642.5,556.56,412.94,Upgrade
Dividends Paid,-120.26,-119.44,-159.75,-289.05,-288.19,-247.4,-243.44,-215.11,-114.16,-41.01,Upgrade
Share Issuance / Repurchase,-9.53,-8.51,-75.37,-162.97,-315.54,-109.15,-33.24,-8.4,-22.31,0,Upgrade
Debt Issued / Paid,"1,763.12",339.1,"-1,754.01",387.89,891.4,-461.35,285.93,238.51,-722.37,101.25,Upgrade
Other Financing Activities,-582.25,"5,896.93","5,709.27",364.62,8.83,279.96,391.38,116.88,135.97,-540.42,Upgrade
Financing Cash Flow,"1,051.09","6,108.08","3,720.14",300.5,296.5,-537.94,400.63,131.88,-722.86,-480.17,Upgrade
Net Cash Flow,"-1,817.01",896.57,"2,523.04",251.86,-12.67,-21.23,23.18,83.26,165.8,-16.98,Upgrade
Free Cash Flow,581.12,455,424.59,512.63,567.09,412.76,521.39,519.79,363.69,46.68,Upgrade
Free Cash Flow Growth,27.72%,7.16%,-17.18%,-9.60%,37.39%,-20.83%,0.31%,42.92%,679.14%,-58.97%,Upgrade
Free Cash Flow Margin,43.33%,31.17%,51.68%,45.16%,49.55%,39.30%,51.72%,60.29%,52.48%,15.25%,Upgrade
Free Cash Flow Per Share,4.93,3.88,3.64,4.34,4.66,3.20,4.33,4.32,3.57,1.05,Upgrade
