Year,2022
Net Income,-2.39
Other Operating Activities,1.32
Operating Cash Flow,-1.07
Change in Investments,-64.14
Investing Cash Flow,-64.14
Share Issuance / Repurchase,66.1
Debt Issued / Paid,0.85
Other Financing Activities,-1.5
Financing Cash Flow,65.44
Net Cash Flow,0.24
Free Cash Flow,-1.07
Free Cash Flow Per Share,-0.31
