Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,235.43,212.52,177.16,207.83,152,104.41,101.43,99.15,104.02,95.61,Upgrade
Depreciation & Amortization,13.66,-6.43,-1.16,22.04,8.35,2.66,5.32,-1.47,0.83,2.45,Upgrade
Share-Based Compensation,7.9,5.18,5.53,5.55,3.51,2.95,2.8,2.73,2.99,1.93,Upgrade
Other Operating Activities,16.74,-16.04,3.57,-27.23,1.09,28.39,14.98,5.24,-20.14,11.83,Upgrade
Operating Cash Flow,273.73,195.24,185.1,208.18,164.95,138.41,124.53,105.64,87.7,111.81,Upgrade
Operating Cash Flow Growth,40.20%,5.48%,-11.09%,26.21%,19.18%,11.14%,17.88%,20.46%,-21.56%,-27.75%,Upgrade
Capital Expenditures,2.96,-3.52,-2.54,0.23,-4.19,-0.88,-12.62,-0.94,-1.23,-2.4,Upgrade
Acquisitions,329,0,0,0,-132.92,3.06,-15.72,0,50.04,0,Upgrade
Change in Investments,"-1,520.35","-1,714.39","-1,271.69",317.75,942.39,135.2,-125.68,-299.81,-317.33,-376.06,Upgrade
Other Investing Activities,11.43,-12.59,5.48,7.35,5.81,2.65,-,-,-,-,Upgrade
Investing Cash Flow,"-1,176.97","-1,730.49","-1,268.76",325.32,811.08,140.04,-154.02,-300.75,-268.52,-378.46,Upgrade
Dividends Paid,-104.44,-97.73,-98.48,-95.35,-65.97,-57.05,-51.63,-48.86,-42.3,-29.94,Upgrade
Share Issuance / Repurchase,-114.41,-7.06,-92.54,-0.43,-6.06,1.56,3.24,4.31,0.05,3.96,Upgrade
Debt Issued / Paid,915.76,174.49,15.75,-293.6,-295.09,-102.26,-85.26,-72.92,-102.62,171.77,Upgrade
Other Financing Activities,"-1,322.77","1,239.94","3,031.57",-122.56,-589.35,-97.95,178.66,312.91,336.77,117.12,Upgrade
Financing Cash Flow,-625.85,"1,309.64","2,856.3",-511.94,-956.46,-255.7,45.02,195.44,191.89,262.91,Upgrade
Net Cash Flow,"-1,529.09",-225.61,"1,772.64",21.57,19.57,22.74,15.54,0.33,11.08,-3.74,Upgrade
Free Cash Flow,276.69,191.72,182.56,208.42,160.76,137.53,111.92,104.7,86.47,109.42,Upgrade
Free Cash Flow Growth,44.32%,5.02%,-12.41%,29.64%,16.89%,22.88%,6.89%,21.08%,-20.97%,-27.31%,Upgrade
Free Cash Flow Margin,50.78%,39.33%,41.26%,42.55%,41.11%,41.73%,37.43%,35.85%,29.92%,42.36%,Upgrade
Free Cash Flow Per Share,1.98,1.42,1.35,1.49,1.15,1.25,1.03,0.98,0.82,1.04,Upgrade
