Year,2022,2021
Net Income,3.53,3.39
Other Operating Activities,-3.43,-4.47
Operating Cash Flow,0.1,-1.08
Change in Investments,187.69,-230
Investing Cash Flow,187.69,-230
Share Issuance / Repurchase,-190.01,232.79
Debt Issued / Paid,1.26,0
Other Financing Activities,-,-0.64
Financing Cash Flow,-188.75,232.15
Net Cash Flow,-0.97,1.06
Free Cash Flow,0.1,-1.08
Free Cash Flow Per Share,0.00,-0.07
