Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"2,362","3,552","3,423","4,272","4,097","3,915","3,425","3,053","2,494","2,040",Upgrade
Depreciation & Amortization,"1,636","1,867","1,630","1,315","1,339","1,474","1,502","1,457","1,292","1,389",Upgrade
Other Operating Activities,"10,859","-2,788",-209,"-5,660",391,-897,"1,218",-488,625,"-4,135",Upgrade
Operating Cash Flow,"15,068","2,838","5,038",96,"5,996","4,667","6,267","4,127","4,484",-642,Upgrade
Operating Cash Flow Growth,430.94%,-43.67%,5147.92%,-98.40%,28.48%,-25.53%,51.85%,-7.96%,-,-,Upgrade
Capital Expenditures,"-1,301","-1,181","-1,222","-1,210","-1,085","-1,197",-760,-601,-206,-609,Upgrade
Acquisitions,446,-162,0,0,84,0,-41,8,36,65,Upgrade
Change in Investments,"21,856","19,945","-76,505","-10,014","4,453","-31,277","51,546","-22,777","-16,392","-12,096",Upgrade
Other Investing Activities,"-1,127","1,070",-728,676,-153,-231,-461,"3,583","4,887",-560,Upgrade
Investing Cash Flow,"19,874","19,672","-78,455","-10,548","3,299","-32,705","50,284","-19,787","-11,675","-13,200",Upgrade
Dividends Paid,"-1,165","-1,126","-1,117","-1,120","-1,052",-901,-778,-760,-760,-680,Upgrade
Share Issuance / Repurchase,-101,"-4,504",-931,"-3,241","-3,149","-2,221","-1,933","-2,003","-1,273",-738,Upgrade
Debt Issued / Paid,"4,887","1,479",-820,"-6,691",-832,"12,980","-2,423","5,185","7,644","2,776",Upgrade
Other Financing Activities,"-37,275","-17,811","78,376","20,511","-3,065","16,920","-53,916","12,763","2,218","14,263",Upgrade
Financing Cash Flow,"-33,654","-21,962","75,508","9,459","-8,098","26,778","-59,050","15,185","7,829","15,621",Upgrade
Net Cash Flow,"1,646",464,"2,152",-991,"1,125","-1,071","-2,613",-433,510,"1,733",Upgrade
Free Cash Flow,"13,767","1,657","3,816","-1,114","4,911","3,470","5,507","3,526","4,278","-1,251",Upgrade
Free Cash Flow Growth,730.84%,-56.58%,-,-,41.53%,-36.99%,56.18%,-17.58%,-,-,Upgrade
Free Cash Flow Margin,84.06%,10.40%,24.14%,-6.77%,29.96%,22.33%,36.14%,23.21%,27.26%,-8.40%,Upgrade
Free Cash Flow Per Share,16.97,1.95,4.28,-1.19,4.90,3.35,5.17,3.19,3.79,-1.09,Upgrade
