Year,2022,2021,2020
Net Income,6.86,6.35,-4.14
Other Operating Activities,-7.96,-6.9,3.62
Operating Cash Flow,-1.1,-0.55,-0.52
Change in Investments,196.11,0,-230
Investing Cash Flow,196.11,0,-230
Share Issuance / Repurchase,-195.58,0,225.4
Debt Issued / Paid,0,0,-0.1
Other Financing Activities,-,-0.05,6.57
Financing Cash Flow,-195.58,-0.05,231.87
Net Cash Flow,-0.58,-0.6,1.35
Free Cash Flow,-1.1,-0.55,-0.52
Free Cash Flow Per Share,-0.04,-0.02,-0.03
