Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,269.14,261.27,159.27,184.35,164.93,67.25,100.64,71.51,67.18,261.06,Upgrade
Depreciation & Amortization,46.7,-2.06,-8.59,23.95,30.97,27.49,29.97,22.65,19.95,26.39,Upgrade
Share-Based Compensation,8.71,6.55,7.89,9.36,6.06,5.83,4.5,4.4,4.3,3.05,Upgrade
Other Operating Activities,282.77,93.56,0.11,-63.73,68.05,107.39,4.81,14.86,7.4,-110.92,Upgrade
Operating Cash Flow,607.31,359.32,158.68,153.93,270.01,207.96,139.91,113.43,99.28,191.65,Upgrade
Operating Cash Flow Growth,69.02%,126.44%,3.08%,-42.99%,29.83%,48.64%,23.35%,14.25%,-48.20%,4.68%,Upgrade
Capital Expenditures,-32.96,-22.24,-17.56,-14.35,-11.13,-19.05,-12.3,-4.99,-1.92,-4.2,Upgrade
Acquisitions,35.24,103.07,195.7,-19.55,-56.8,53.68,1.91,35.5,-31.26,0,Upgrade
Change in Investments,"-2,029.4","-1,890.68","-1,765.02",195.2,-291.54,-70.14,-701.94,-430.96,-201.7,-478.59,Upgrade
Other Investing Activities,6.94,3.45,6.32,1.92,-,-10,-20,-,-,-,Upgrade
Investing Cash Flow,"-2,020.18","-1,806.4","-1,580.56",163.22,-359.48,-45.51,-732.33,-400.44,-234.88,-482.79,Upgrade
Dividends Paid,-86.88,-66.91,-58.91,-53.04,-41.63,-26.21,-15.85,-14.82,-1.81,0,Upgrade
Share Issuance / Repurchase,0,-15.1,-20.78,-10.62,-1.18,-1.25,-13.29,0.3,12.68,0.8,Upgrade
Debt Issued / Paid,708.93,-105.14,-30.57,-215.27,-582.57,-325.14,244.24,154.9,98.31,85.67,Upgrade
Other Financing Activities,-880.83,"2,344.13","2,625.56",149.72,727.84,287.07,354.3,194.35,-9.82,182.43,Upgrade
Financing Cash Flow,-258.78,"2,156.97","2,515.3",-129.21,102.46,-65.53,569.4,334.73,99.36,268.89,Upgrade
Net Cash Flow,"-1,671.66",709.89,"1,093.41",187.94,12.99,96.93,-23.02,47.71,-36.24,-22.25,Upgrade
Free Cash Flow,574.35,337.08,141.12,139.58,258.87,188.92,127.62,108.44,97.36,187.46,Upgrade
Free Cash Flow Growth,70.39%,138.86%,1.10%,-46.08%,37.03%,48.03%,17.68%,11.38%,-48.06%,4.13%,Upgrade
Free Cash Flow Margin,69.52%,45.28%,24.44%,24.88%,49.57%,42.89%,31.57%,33.24%,36.07%,89.58%,Upgrade
Free Cash Flow Per Share,5.38,3.83,1.70,1.75,3.25,2.58,1.77,1.66,1.61,3.19,Upgrade
