Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,"2,842","3,662","2,697","2,622","2,523","2,056","3,014","3,439","3,692","3,673",Upgrade
Other Operating Activities,"3,623","3,612","3,822","2,583","1,857","2,092","1,455",-5,1,143,Upgrade
Operating Cash Flow,"6,465","7,274","6,519","5,205","4,380","4,148","4,469","3,434","3,693","3,816",Upgrade
Operating Cash Flow Growth,-11.12%,11.58%,25.24%,18.84%,5.59%,-7.18%,30.14%,-7.01%,-3.22%,18.14%,Upgrade
Acquisitions,-4,-38,0,0,0,-439,0,-13,-12,-997,Upgrade
Change in Investments,"-3,360","-4,860","-4,515","-2,735","-1,951","-1,475","-1,368",747,494,439,Upgrade
Other Investing Activities,-364,-298,-377,-167,-378,-288,-359,-417,-276,-352,Upgrade
Investing Cash Flow,"-3,728","-5,196","-4,892","-2,902","-2,329","-2,202","-1,727",317,206,-910,Upgrade
Dividends Paid,-875,-869,-861,-844,-814,-785,-757,-739,-729,-729,Upgrade
Share Issuance / Repurchase,"-1,794","-1,907",-545,"-1,335","-1,189","-1,267","-2,140","-3,041","-3,137","-2,255",Upgrade
Debt Issued / Paid,0,739,-10,-8,-9,132,91,-8,0,-6,Upgrade
Other Financing Activities,-,-,-,-,-,-,-,55,57,51,Upgrade
Financing Cash Flow,"-2,669","-2,037","-1,416","-2,187","-2,012","-1,920","-2,806","-3,733","-3,809","-2,939",Upgrade
Net Cash Flow,38,40,227,121,29,37,-73,6,80,-36,Upgrade
Free Cash Flow,"6,465","7,274","6,519","5,205","4,380","4,148","4,469","3,434","3,693","3,816",Upgrade
Free Cash Flow Growth,-11.12%,11.58%,25.24%,18.84%,5.59%,-7.18%,30.14%,-7.01%,-3.22%,18.14%,Upgrade
Free Cash Flow Margin,17.53%,20.89%,20.38%,16.48%,14.46%,14.35%,16.18%,12.81%,13.59%,14.57%,Upgrade
Free Cash Flow Per Share,27.28,29.27,25.72,20.02,16.38,15.03,15.51,11.06,10.90,10.30,Upgrade
