Year,2021,2020,2019
Net Income,2.83,2.21,-0.66
Other Operating Activities,-0.44,0.25,0.09
Operating Cash Flow,2.39,2.47,-0.57
Operating Cash Flow Growth,-2.97%,-,-
Dividends Paid,-1.62,-,-
Share Repurchases,-,-0.16,-0.55
Other Financing Activities,-,-0.33,-1.11
Financing Cash Flow,-1.62,-0.16,-0.55
Net Cash Flow,0.78,2.3,-1.12
Free Cash Flow,-1.89,-2.46,7.65
Free Cash Flow Margin,-35.99%,-76.08%,4313.42%
Free Cash Flow Per Share,-0.39,-0.51,1.56
