Year,2022,2021,2020
Net Income,11.07,8.45,-5.8
Share-Based Compensation,0,0.28,0
Other Operating Activities,-11.06,-8.74,5.8
Operating Cash Flow,0.01,0,0
Change in Investments,400.65,0.01,-500
Investing Cash Flow,400.65,0.01,-500
Share Issuance / Repurchase,-402,0,510.03
Debt Issued / Paid,1.68,-0.46,-0.16
Other Financing Activities,-,-,-9.4
Financing Cash Flow,-400.32,-0.46,500.47
Net Cash Flow,0.35,-0.44,0.47
Free Cash Flow,0.01,0,0
