Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,447.1,"1,156.2",288,441.1,882.8,"1,127.3",854.2,968.1,988.1,940.3,Upgrade
Depreciation & Amortization,195.3,205.3,203.5,177.6,142.1,116.8,101.2,93.6,89.4,88.4,Upgrade
Share-Based Compensation,106.2,140.1,188.5,207.5,172.4,175.3,159.7,150.3,138,133.1,Upgrade
Other Operating Activities,-282.2,-660.3,313.5,166.8,-368.5,-261.6,-461.1,-83.6,-15.1,-381.6,Upgrade
Operating Cash Flow,703.2,"1,078.1","1,230.3","1,116.6",828.8,"1,157.8",654,"1,128.4","1,200.4",780.2,Upgrade
Operating Cash Flow Growth,-34.77%,-12.37%,10.18%,34.72%,-28.42%,77.03%,-42.04%,-6.00%,53.86%,-4.77%,Upgrade
Capital Expenditures,-192.9,-108.8,-115,-124.3,-102.5,-111.7,-147.7,-124.5,-133.2,-88.2,Upgrade
Acquisitions,0,0,0,290.5,"-1,469.3",-299.2,-121.9,0,60.8,135.1,Upgrade
Change in Investments,-166.1,-717.3,-750.1,"-1,617.6","-1,263.1",-563.5,-736.3,-540.3,"-1,754.8",-286.8,Upgrade
Other Investing Activities,-16.6,-21.8,5.5,18.6,-63.8,-,-,-,-,-,Upgrade
Investing Cash Flow,-375.6,-847.9,-859.6,"-1,432.8","-2,898.7",-974.4,"-1,005.9",-664.8,"-1,827.2",-239.9,Upgrade
Dividends Paid,-334.8,-307.7,-357.4,-529.1,-490.6,-471.6,-460.4,-454.5,-424,-379.7,Upgrade
Share Issuance / Repurchase,-244.7,-60.9,-47.1,-469.8,-51.8,-63.8,-535,-620,-258.6,-452.6,Upgrade
Debt Issued / Paid,-575,914.6,476.9,"1,198.4","1,749.2",373.6,"1,185.1","1,014.2","1,274.5",921.3,Upgrade
Other Financing Activities,187.6,-428.7,-358.3,1.8,333.2,330.8,280.4,8.7,270.6,-148.3,Upgrade
Financing Cash Flow,-966.9,117.3,-285.9,201.3,"1,540",169,470.1,-51.6,862.5,-59.3,Upgrade
Net Cash Flow,-639.3,347.5,84.8,-114.9,-529.9,352.4,118.2,412,235.7,481,Upgrade
Free Cash Flow,510.3,969.3,"1,115.3",992.3,726.3,"1,046.1",506.3,"1,003.9","1,067.2",692,Upgrade
Free Cash Flow Growth,-47.35%,-13.09%,12.40%,36.62%,-30.57%,106.62%,-49.57%,-5.93%,54.22%,-3.97%,Upgrade
Free Cash Flow Margin,8.44%,14.06%,18.15%,16.22%,13.67%,20.27%,10.69%,19.60%,20.73%,14.90%,Upgrade
Free Cash Flow Per Share,1.12,2.10,2.43,2.19,1.77,2.55,1.24,2.37,2.48,1.56,Upgrade
